trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  745 420.00  0.00 800.00  8.60  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  1
  3  645 360.00  0.00 800.00 156.00  1
  4  753 420.00  0.00 800.00 156.00  1
  5  664 370.00  0.00 800.00 260.00  0
  6  664 390.00  0.00 800.00 520.00  0
  7  664 390.00  0.00 800.00 156.00  1
  8  664 380.00  0.00 800.00 156.00  1
  9  664 360.00  0.00 800.00 520.00  1
 10    7  10.00  0.00 800.00  8.60  1
 11  845 470.00  0.00 800.00 520.00  0
 12  916 510.00  0.00 800.00 260.00  0
 13  880 490.00  0.00 800.00 260.00  0
 14  646 360.00  0.00 800.00 260.00  1
 15  790 440.00  0.00 800.00 260.00  0
 16  592 330.00  0.00 800.00 260.00  1
 17  808 450.00  0.00 800.00 260.00  0
 18  610 340.00  0.00 800.00 260.00  1
 19  808 470.00  0.00 800.00 520.00  0
