Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.8556  2.9576    -8.8949 -0.1399
      1  -3.3334  2.9781    -8.7767 -0.0980
      2  -2.6991  2.8869    -8.5517 -0.0726
      3  -2.0496  2.6433    -8.1223 -0.0581
      4  -1.4745  2.2647    -7.3081 -0.0499
      5  -1.0761  1.8606    -5.9007 -0.0457
      6  -2.2023  2.2502    -7.5069 -0.1546
      7  -1.8806  1.9713    -6.4642 -0.1421
      8  -3.2686  2.1310    -7.6581 -0.4909
      9  -3.1179  1.9901    -7.0676 -0.5014
     10  -4.2428  1.8293    -7.6663 -1.2900
     11  -3.6412  1.6195    -6.6566 -1.1125
     12  -3.5819  1.4840    -6.0995 -1.2119
     13  -4.0797  1.2671    -6.2832 -2.2418
     14  -4.5434  1.1851    -6.6662 -2.9865
     15  -4.2100  1.0333    -5.8581 -2.8503
     16  -4.5035  0.9806    -6.1018 -3.3305
     17  -4.2965  0.8729    -5.6136 -3.2446
     18  -4.2925  0.7722    -5.5176 -3.3168
     19  -4.4852  0.7255    -5.6860 -3.6335

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0035  0.0100     0.0000  0.0180
      1   0.0057  0.0123     0.0000  0.0266
      2   0.0084  0.0144     0.0000  0.0339
      3   0.0113  0.0157     0.0000  0.0396
      4   0.0138  0.0164     0.0000  0.0435
      5   0.0156  0.0166     0.0000  0.0459
      6   0.0063  0.0047     0.0000  0.0120
      7   0.0072  0.0043     0.0000  0.0125
      8   0.0055  0.0033     0.0000  0.0068
      9   0.0062  0.0028     0.0000  0.0068
     10   0.0059  0.0029     0.0000  0.0067
     11   0.0061  0.0027     0.0000  0.0067
     12   0.0065  0.0022     0.0001  0.0068
     13   0.0067  0.0021     0.0001  0.0068
     14   0.0066  0.0021     0.0001  0.0068
     15   0.0068  0.0021     0.0001  0.0068
     16   0.0068  0.0021     0.0001  0.0068
     17   0.0069  0.0021     0.0001  0.0069
     18   0.0071  0.0018     0.0003  0.0069
     19   0.0071  0.0018     0.0003  0.0069

