Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7571  1.3342    -3.4212 -0.1871
      1  -2.6401  0.9896    -3.6898 -1.8629
      2  -3.0541  0.9111    -4.1753 -2.5453
      3  -3.4139  1.0670    -5.8143 -2.9240
      4  -4.2011  1.7179    -8.3528 -2.7499
      5  -3.6253  1.0918    -5.9099 -2.9230
      6  -3.4613  0.8418    -4.3684 -2.9798
      7  -3.5191  0.7373    -4.2572 -3.1968
      8  -3.8214  1.1631    -6.4554 -2.9843
      9  -3.6971  0.9057    -4.8722 -3.1968
     10  -4.2356  1.7576    -8.2729 -1.3544
     11  -4.1342  1.4441    -7.6173 -2.1175
     12  -4.0598  1.1629    -6.4848 -2.9946
     13  -4.0125  0.9399    -5.4904 -3.2305
     14  -3.9847  0.7809    -5.1904 -3.3040
     15  -3.8813  0.6321    -4.8137 -3.2974
     16  -3.8040  0.5292    -4.5950 -3.2807
     17  -3.7457  0.4547    -4.4401 -3.2631
     18  -3.6130  0.4946    -4.3118 -3.1239
     19  -3.6480  0.4226    -4.3170 -3.2225

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0986  0.0604     0.0011  0.1895
      1   0.0973  0.0608     0.0003  0.1893
      2   0.0967  0.0610     0.0003  0.1892
      3   0.0881  0.0626     0.0001  0.1877
      4   0.0311  0.0367     0.0000  0.1074
      5   0.0413  0.0393     0.0000  0.1205
      6   0.0498  0.0408     0.0001  0.1299
      7   0.0561  0.0435     0.0001  0.1412
      8   0.0228  0.0196     0.0000  0.0573
      9   0.0263  0.0197     0.0001  0.0604
     10   0.0073  0.0075     0.0000  0.0187
     11   0.0089  0.0074     0.0000  0.0196
     12   0.0101  0.0071     0.0000  0.0200
     13   0.0109  0.0068     0.0001  0.0203
     14   0.0113  0.0066     0.0002  0.0204
     15   0.0123  0.0068     0.0005  0.0217
     16   0.0132  0.0070     0.0007  0.0233
     17   0.0140  0.0071     0.0009  0.0246
     18   0.0127  0.0065     0.0007  0.0211
     19   0.0135  0.0066     0.0009  0.0225

