Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4411  1.3352    -3.1042 -0.1490
      1  -0.7966  1.2191    -2.0676 -0.0798
      2  -1.1947  1.2155    -2.9717 -0.6312
      3  -1.3754  1.2243    -3.4619 -0.9053
      4  -1.9996  1.7908    -6.9865 -1.0035
      5  -3.0138  2.2502    -8.3068 -1.0268
      6  -2.4869  1.8147    -7.3235 -1.0871
      7  -2.2300  1.4759    -5.8032 -1.1216
      8  -1.9142  1.2335    -4.1569 -1.0917
      9  -1.7220  1.0225    -2.7933 -1.0756
     10  -1.9351  1.0859    -3.3295 -1.2745
     11  -1.8025  0.8687    -2.5585 -1.2698
     12  -1.6903  0.7987    -2.3151 -1.1859
     13  -1.6990  0.6479    -2.2784 -1.3441
     14  -1.6337  0.5361    -2.1036 -1.3364
     15  -1.6611  0.4458    -2.1056 -1.3924
     16  -1.6088  0.3849    -2.0667 -1.3740
     17  -1.6381  0.3298    -2.0764 -1.4488
     18  -1.6061  0.2729    -2.0369 -1.4326
     19  -1.6217  0.2278    -2.0454 -1.5344

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0969  0.0611     0.0001  0.1893
      1   0.0978  0.0608     0.0001  0.1894
      2   0.0939  0.0618     0.0001  0.1887
      3   0.0933  0.0626     0.0001  0.1890
      4   0.0395  0.0405     0.0000  0.1205
      5   0.0110  0.0124     0.0000  0.0325
      6   0.0136  0.0129     0.0000  0.0351
      7   0.0152  0.0127     0.0000  0.0367
      8   0.0181  0.0137     0.0001  0.0408
      9   0.0206  0.0142     0.0001  0.0443
     10   0.0182  0.0125     0.0001  0.0386
     11   0.0202  0.0126     0.0004  0.0404
     12   0.0213  0.0131     0.0007  0.0422
     13   0.0232  0.0133     0.0016  0.0448
     14   0.0249  0.0136     0.0026  0.0470
     15   0.0268  0.0140     0.0039  0.0493
     16   0.0284  0.0145     0.0051  0.0521
     17   0.0302  0.0150     0.0069  0.0546
     18   0.0321  0.0153     0.0078  0.0572
     19   0.0339  0.0156     0.0088  0.0596

