Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.1183  2.2092    -7.8415 -0.3045
      1  -4.7730  1.7156    -8.5955 -2.9910
      2  -6.0000  1.5504    -9.0228 -4.4975
      3  -7.2331  1.2771    -7.6938 -5.7998
      4  -6.2295  0.8269    -7.3694 -5.5518
      5  -5.8491  0.6840    -6.5644 -5.3044
      6  -5.6793  0.6482    -6.2731 -5.0704
      7  -5.7848  0.4900    -6.2796 -5.6076
      8  -5.9033  0.8075    -6.7508 -5.4690
      9  -5.9554  0.6259    -6.6655 -5.7486
     10  -5.9832  0.4959    -6.6033 -5.8053
     11  -5.9963  0.4065    -6.5735 -5.8131
     12  -6.0029  0.3493    -6.5619 -5.8181
     13  -6.0057  0.3137    -6.5523 -5.8212
     14  -6.0067  0.2918    -6.5438 -5.8233
     15  -6.0062  0.2785    -6.5370 -5.8241
     16  -6.0055  0.2694    -6.5302 -5.8250
     17  -6.0045  0.2628    -6.5238 -5.8256
     18  -6.0037  0.2574    -6.5177 -5.8262
     19  -6.0026  0.2534    -6.5126 -5.8264

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0978  0.0592     0.0046  0.1889
      1   0.0946  0.0591     0.0041  0.1880
      2   0.0844  0.0580     0.0031  0.1843
      3   0.0645  0.0493     0.0022  0.1616
      4   0.0703  0.0528     0.0017  0.1706
      5   0.0748  0.0545     0.0018  0.1754
      6   0.0768  0.0557     0.0019  0.1778
      7   0.0894  0.0553     0.0056  0.1826
      8   0.0446  0.0349     0.0001  0.1091
      9   0.0479  0.0345     0.0017  0.1116
     10   0.0505  0.0342     0.0040  0.1135
     11   0.0521  0.0339     0.0060  0.1146
     12   0.0534  0.0337     0.0076  0.1156
     13   0.0545  0.0336     0.0086  0.1163
     14   0.0554  0.0334     0.0095  0.1169
     15   0.0559  0.0333     0.0102  0.1172
     16   0.0565  0.0332     0.0109  0.1177
     17   0.0571  0.0331     0.0116  0.1181
     18   0.0577  0.0331     0.0123  0.1186
     19   0.0580  0.0330     0.0129  0.1189

