Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.4400  2.2436    -7.7341 -0.3496
      1  -5.2289  1.5244    -8.5194 -3.5028
      2  -4.0733  0.7256    -4.9899 -3.3965
      3  -3.6710  0.6068    -4.3115 -3.2181
      4  -3.8499  0.4747    -4.3842 -3.6143
      5  -3.6933  0.4605    -4.1095 -3.4942
      6  -3.7165  0.3417    -4.0999 -3.6936
      7  -3.6919  0.2530    -3.9467 -3.6937
      8  -3.6923  0.1842    -3.9461 -3.6961
      9  -3.6403  0.4661    -3.9489 -3.4521
     10  -3.5441  0.5632    -3.9408 -3.4092
     11  -4.0556  1.9651    -8.4485 -0.9576
     12  -3.9002  1.6306    -7.9132 -1.3995
     13  -3.7815  1.2961    -6.8744 -2.1844
     14  -3.7054  1.0063    -5.0856 -2.7757
     15  -3.6653  0.7880    -4.5196 -2.9632
     16  -3.6807  0.6330    -4.4373 -3.1732
     17  -3.5755  1.0948    -5.4640 -2.5327
     18  -3.5208  0.8653    -4.4868 -2.7143
     19  -3.4894  0.6982    -4.3711 -2.7844

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0997  0.0589     0.0056  0.1894
      1   0.0979  0.0588     0.0053  0.1888
      2   0.1019  0.0586     0.0058  0.1898
      3   0.1003  0.0588     0.0054  0.1895
      4   0.1047  0.0573     0.0098  0.1901
      5   0.1064  0.0576     0.0092  0.1906
      6   0.1150  0.0549     0.0179  0.1918
      7   0.1227  0.0517     0.0274  0.1927
      8   0.1244  0.0503     0.0323  0.1928
      9   0.0660  0.0401     0.0076  0.1403
     10   0.0527  0.0328     0.0032  0.1105
     11   0.0073  0.0092     0.0000  0.0224
     12   0.0095  0.0094     0.0000  0.0247
     13   0.0113  0.0093     0.0000  0.0258
     14   0.0125  0.0090     0.0000  0.0265
     15   0.0132  0.0087     0.0001  0.0268
     16   0.0143  0.0088     0.0004  0.0275
     17   0.0081  0.0049     0.0000  0.0137
     18   0.0087  0.0046     0.0001  0.0138
     19   0.0090  0.0044     0.0002  0.0138

