Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2949  1.9957    -6.4909 -0.3499
      1  -1.6803  1.1804    -3.3607 -0.1843
      2  -2.4403  0.8081    -3.4204 -1.6287
      3  -2.9764  0.6666    -3.6649 -2.5617
      4  -2.7003  0.6811    -3.2118 -2.3564
      5  -2.7563  0.6028    -3.2727 -2.6428
      6  -2.7043  0.4329    -3.1217 -2.6440
      7  -2.7202  0.3722    -3.1331 -2.6515
      8  -2.7920  0.9275    -3.7013 -2.3861
      9  -2.7082  0.7273    -3.1246 -2.4127
     10  -2.6942  0.5547    -3.0698 -2.5835
     11  -2.6923  0.4612    -3.0620 -2.6458
     12  -2.6628  0.3459    -2.8997 -2.6464
     13  -3.0920  1.3766    -6.8202 -2.1722
     14  -2.9426  1.0527    -4.7559 -2.3922
     15  -2.8557  0.7927    -3.5858 -2.4371
     16  -2.7950  0.6078    -3.3518 -2.4610
     17  -2.7559  0.4722    -3.2146 -2.4761
     18  -2.7601  0.3744    -3.1830 -2.5817
     19  -2.8504  0.4350    -3.3467 -2.6462

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0591     0.0055  0.1898
      1   0.1011  0.0590     0.0057  0.1898
      2   0.1010  0.0591     0.0057  0.1897
      3   0.0996  0.0596     0.0043  0.1895
      4   0.0952  0.0603     0.0026  0.1887
      5   0.1042  0.0598     0.0048  0.1908
      6   0.1104  0.0569     0.0123  0.1914
      7   0.1146  0.0558     0.0171  0.1923
      8   0.0558  0.0454     0.0001  0.1438
      9   0.0637  0.0457     0.0007  0.1500
     10   0.0702  0.0450     0.0052  0.1541
     11   0.0773  0.0458     0.0090  0.1610
     12   0.0836  0.0447     0.0150  0.1644
     13   0.0183  0.0150     0.0000  0.0426
     14   0.0201  0.0145     0.0000  0.0438
     15   0.0211  0.0141     0.0001  0.0444
     16   0.0227  0.0139     0.0009  0.0456
     17   0.0241  0.0138     0.0019  0.0466
     18   0.0256  0.0137     0.0029  0.0477
     19   0.0222  0.0116     0.0020  0.0402

