Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6483  1.4394    -4.1735 -0.1604
      1  -0.9110  1.2256    -2.2633 -0.0918
      2  -0.5396  1.2017    -1.5426 -0.0525
      3  -0.3480  1.0811    -0.7740 -0.0372
      4  -0.4708  1.0723    -0.8728 -0.1705
      5  -0.9619  2.0911    -6.8631 -0.0370
      6  -0.5912  1.6082    -4.7630 -0.0346
      7  -0.4628  1.5222    -4.0775 -0.0273
      8  -0.2927  1.2402    -1.3097 -0.0251
      9  -0.1699  0.9464    -0.4169 -0.0242
     10  -0.0948  0.6774    -0.2733 -0.0239
     11  -0.0562  0.5079    -0.2658 -0.0235
     12  -0.0347  0.3590    -0.2644 -0.0234
     13  -0.1351  0.8494    -0.2714 -0.0238
     14  -0.0772  0.6220    -0.2665 -0.0235
     15  -0.0465  0.4580    -0.2636 -0.0234
     16  -0.0692  0.5904    -0.2646 -0.0234
     17  -0.0414  0.4293    -0.2625 -0.0233
     18  -0.0474  0.4717    -0.2626 -0.0233
     19  -0.0298  0.3425    -0.2613 -0.0233

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0994  0.0619     0.0001  0.1901
      1   0.1058  0.0604     0.0001  0.1911
      2   0.1064  0.0597     0.0001  0.1910
      3   0.1108  0.0580     0.0032  0.1915
      4   0.1100  0.0587     0.0021  0.1916
      5   0.0476  0.0423     0.0000  0.1273
      6   0.0526  0.0414     0.0000  0.1303
      7   0.0577  0.0430     0.0001  0.1382
      8   0.0662  0.0435     0.0001  0.1462
      9   0.0726  0.0426     0.0073  0.1504
     10   0.0745  0.0416     0.0134  0.1511
     11   0.0794  0.0411     0.0184  0.1547
     12   0.0800  0.0407     0.0203  0.1549
     13   0.0445  0.0248     0.0066  0.0866
     14   0.0466  0.0242     0.0097  0.0879
     15   0.0487  0.0239     0.0127  0.0893
     16   0.0421  0.0207     0.0096  0.0763
     17   0.0435  0.0203     0.0119  0.0775
     18   0.0415  0.0194     0.0108  0.0737
     19   0.0428  0.0191     0.0130  0.0746

