Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.4120  1.3277    -6.4274 -5.8767
      1  -6.5541  0.9607    -7.7037 -5.7961
      2  -6.1416  0.8046    -6.9055 -5.5886
      3  -5.8445  0.8027    -6.5028 -5.1420
      4  -5.6027  0.9317    -6.2796 -4.1396
      5  -4.8297  1.6100    -6.6241 -1.2515
      6  -3.8131  1.9810    -7.4847 -0.5439
      7  -2.9218  2.2120    -7.8605 -0.2768
      8  -2.6300  1.9732    -6.8340 -0.2580
      9  -2.4283  1.7668    -5.5910 -0.2461
     10  -1.7051  1.6275    -5.0510 -0.1497
     11  -1.2544  1.4844    -4.2294 -0.1029
     12  -1.1077  1.2197    -3.0907 -0.0995
     13  -0.8199  1.0800    -2.3169 -0.0740
     14  -1.0454  1.1107    -2.6073 -0.1229
     15  -1.3497  1.1626    -3.0550 -0.2607
     16  -1.2688  0.9718    -2.7344 -0.2581
     17  -1.6030  1.0147    -3.1498 -0.5138
     18  -1.3755  0.9068    -2.6078 -0.4008
     19  -1.5866  0.8848    -2.8157 -0.6504

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0995  0.0601     0.0015  0.1896
      1   0.0982  0.0606     0.0010  0.1895
      2   0.0993  0.0603     0.0015  0.1897
      3   0.0967  0.0612     0.0006  0.1893
      4   0.0883  0.0632     0.0001  0.1884
      5   0.0198  0.0221     0.0000  0.0615
      6   0.0067  0.0055     0.0000  0.0135
      7   0.0049  0.0037     0.0000  0.0068
      8   0.0059  0.0033     0.0000  0.0069
      9   0.0065  0.0028     0.0000  0.0070
     10   0.0065  0.0027     0.0000  0.0069
     11   0.0066  0.0026     0.0001  0.0069
     12   0.0070  0.0022     0.0001  0.0069
     13   0.0071  0.0021     0.0002  0.0070
     14   0.0070  0.0021     0.0001  0.0070
     15   0.0069  0.0022     0.0001  0.0069
     16   0.0071  0.0019     0.0003  0.0069
     17   0.0070  0.0019     0.0002  0.0069
     18   0.0071  0.0019     0.0003  0.0069
     19   0.0071  0.0019     0.0002  0.0070

