Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.0165  1.9866    -9.1469 -3.0094
      1  -4.4415  1.1815    -6.1997 -2.6914
      2  -3.6176  0.8612    -4.7038 -2.3827
      3  -4.1001  0.5671    -4.7353 -3.6992
      4  -3.8315  0.5082    -4.3500 -3.5507
      5  -3.6696  0.5162    -4.0888 -3.4303
      6  -3.4145  1.0115    -4.3743 -1.9794
      7  -3.0378  1.5104    -6.6422 -1.0001
      8  -3.1985  1.2220    -5.6940 -1.7557
      9  -3.2596  0.9822    -4.4068 -2.3663
     10  -3.2849  0.7850    -4.0627 -2.6816
     11  -3.1426  1.0261    -4.5694 -2.3283
     12  -3.0729  0.7941    -3.8884 -2.4183
     13  -3.0969  0.6442    -3.8207 -2.6434
     14  -3.2895  0.7869    -4.1423 -2.7137
     15  -3.2276  0.6300    -3.9117 -2.7340
     16  -3.2487  0.5176    -3.8956 -2.8936
     17  -3.1992  0.4333    -3.7675 -2.8755
     18  -3.2373  0.3714    -3.7880 -2.9416
     19  -3.1803  0.3335    -3.6721 -2.9242

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1062  0.0584     0.0061  0.1907
      1   0.1050  0.0590     0.0053  0.1906
      2   0.1026  0.0597     0.0049  0.1903
      3   0.1099  0.0576     0.0083  0.1913
      4   0.1095  0.0577     0.0079  0.1913
      5   0.1094  0.0589     0.0061  0.1916
      6   0.0447  0.0409     0.0001  0.1256
      7   0.0136  0.0131     0.0000  0.0363
      8   0.0169  0.0142     0.0000  0.0409
      9   0.0198  0.0148     0.0001  0.0448
     10   0.0222  0.0150     0.0001  0.0473
     11   0.0161  0.0110     0.0001  0.0331
     12   0.0169  0.0106     0.0001  0.0335
     13   0.0185  0.0107     0.0007  0.0347
     14   0.0151  0.0090     0.0001  0.0280
     15   0.0162  0.0089     0.0006  0.0294
     16   0.0174  0.0090     0.0011  0.0309
     17   0.0185  0.0091     0.0017  0.0322
     18   0.0196  0.0093     0.0023  0.0334
     19   0.0204  0.0094     0.0028  0.0342

