Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2573  2.2918    -7.4434 -0.0468
      1  -1.3638  2.2330    -7.4196 -0.1920
      2  -2.2432  2.5861    -8.2594 -0.3217
      3  -4.6667  2.7111    -9.0069 -0.5315
      4  -4.6865  2.6995    -9.0080 -0.5608
      5  -4.7156  2.6821    -9.0097 -0.6067
      6  -4.7497  2.6606    -9.0115 -0.6679
      7  -4.7848  2.6377    -9.0133 -0.7385
      8  -5.9787  2.3994    -9.1868 -1.2146
      9  -6.2564  2.2296    -9.2083 -1.6499
     10  -6.4544  2.0778    -8.8120 -2.1758
     11  -7.2492  1.7244    -5.9275 -3.8477
     12  -7.4006  1.5166    -5.7148 -4.9080
     13  -7.7852  1.2556    -4.5444 -6.0145
     14  -8.0349  1.0786    -3.7634 -6.6038
     15  -7.6160  1.2435    -6.4005 -6.0832
     16  -7.6856  1.0963    -6.3101 -6.2613
     17  -7.2802  1.2371    -9.1808 -5.7716
     18  -6.8354  1.1966    -8.8355 -5.4200
     19  -6.4691  1.1024    -8.2061 -5.1612

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0772  0.0671     0.0000  0.1867
      1   0.0733  0.0665     0.0000  0.1858
      2   0.0306  0.0424     0.0000  0.1233
      3   0.0009  0.0023     0.0000  0.0041
      4   0.0015  0.0028     0.0000  0.0054
      5   0.0024  0.0033     0.0000  0.0060
      6   0.0035  0.0036     0.0000  0.0064
      7   0.0046  0.0035     0.0000  0.0066
      8   0.0045  0.0035     0.0000  0.0065
      9   0.0054  0.0031     0.0000  0.0066
     10   0.0061  0.0026     0.0000  0.0067
     11   0.0063  0.0024     0.0000  0.0067
     12   0.0067  0.0019     0.0001  0.0067
     13   0.0068  0.0017     0.0002  0.0068
     14   0.0069  0.0016     0.0002  0.0068
     15   0.0067  0.0017     0.0001  0.0067
     16   0.0069  0.0014     0.0003  0.0067
     17   0.0067  0.0016     0.0001  0.0067
     18   0.0067  0.0018     0.0001  0.0067
     19   0.0067  0.0018     0.0001  0.0067

