Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0210  2.5025    -9.0420 -1.2489
      1  -7.0349  1.4034    -7.9503 -5.1282
      2  -7.9607  0.9415    -4.6576 -6.9017
      3  -7.2521  0.7025    -8.1947 -6.7677
      4  -6.9215  0.6175    -7.5594 -6.5968
      5  -6.7576  0.5922    -7.2909 -6.3706
      6  -6.8425  0.4230    -7.2982 -6.7914
      7  -6.2203  1.5654    -8.0668 -2.3618
      8  -6.3997  1.2585    -7.8736 -4.0056
      9  -5.7419  1.6478    -7.8982 -1.8848
     10  -5.9028  1.3636    -7.5856 -3.0235
     11  -6.0030  1.1396    -7.4282 -4.1749
     12  -5.4336  1.3868    -7.2583 -2.6083
     13  -5.4987  1.2031    -7.0621 -3.3285
     14  -5.7483  0.9811    -7.0816 -4.4627
     15  -5.3502  1.1055    -6.7995 -3.6231
     16  -5.3855  0.9539    -6.7078 -4.0299
     17  -5.0094  1.0720    -6.4439 -3.2671
     18  -5.2075  0.8889    -6.4624 -4.0601
     19  -5.2228  0.7846    -6.4084 -4.1980

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0588     0.0066  0.1898
      1   0.1015  0.0588     0.0065  0.1898
      2   0.1025  0.0583     0.0081  0.1899
      3   0.0997  0.0592     0.0059  0.1895
      4   0.1007  0.0594     0.0053  0.1898
      5   0.0999  0.0594     0.0050  0.1896
      6   0.1115  0.0560     0.0127  0.1912
      7   0.0153  0.0148     0.0000  0.0411
      8   0.0169  0.0147     0.0000  0.0426
      9   0.0078  0.0066     0.0000  0.0174
     10   0.0089  0.0063     0.0000  0.0182
     11   0.0095  0.0061     0.0001  0.0186
     12   0.0068  0.0037     0.0000  0.0110
     13   0.0073  0.0033     0.0001  0.0113
     14   0.0077  0.0034     0.0001  0.0121
     15   0.0068  0.0028     0.0001  0.0088
     16   0.0071  0.0025     0.0001  0.0091
     17   0.0067  0.0022     0.0001  0.0069
     18   0.0069  0.0021     0.0001  0.0069
     19   0.0071  0.0019     0.0003  0.0069

