trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  224 130.00  0.00 800.00 10.80  1
  1  645 360.00  0.00 800.00 156.00  1
  2  881 490.00  0.00 800.00 520.00  1
  3 1187 660.00  0.00 800.00 520.00  0
  4 1043 580.00  0.00 800.00 520.00  0
  5  971 540.00  0.00 800.00 520.00  0
  6  863 480.00  0.00 800.00 520.00  1
  7  971 540.00  0.00 800.00 260.00  0
  8   10  10.00  0.00 800.00 17.20  1
  9  629 350.00  0.00 800.00 520.00  0
 10    5  10.00  0.00 800.00  4.30  1
 11    4  10.00  0.00 800.00  3.00  1
 12  664 370.00  0.00 800.00 260.00  0
 13    0  10.00  0.00 800.00  0.43  1
 14  609 340.00  0.00 800.00 156.00  1
 15  592 330.00  0.00 800.00 260.00  0
 16    2  10.00  0.00 800.00  1.00  1
 17  663 370.00  0.00 800.00 156.00  0
 18  572 320.00  0.00 800.00 104.00  1
 19    2  10.00  0.00 800.00  1.00  1
