Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7978  1.3287    -3.6259 -0.1916
      1  -0.9736  1.0888    -1.9779 -0.1052
      2  -1.4982  0.9913    -2.3362 -1.0359
      3  -1.6093  0.8604    -2.2791 -1.3180
      4  -1.4579  0.8531    -1.8397 -1.1772
      5  -1.3867  0.6184    -1.7585 -1.1852
      6  -1.5720  1.5933    -5.9840 -0.6655
      7  -2.3878  2.5942    -8.3274 -0.2456
      8  -1.8104  2.2231    -7.6724 -0.2196
      9  -1.3847  1.7902    -6.3819 -0.2041
     10  -1.1145  1.3856    -3.9622 -0.1956
     11  -0.9584  1.0562    -1.8624 -0.1911
     12  -1.0009  0.9010    -1.7916 -0.3261
     13  -0.8735  0.9979    -1.6717 -0.2070
     14  -0.8486  1.3938    -3.6485 -0.0947
     15  -0.6907  1.0544    -1.5572 -0.0919
     16  -0.6050  0.8014    -1.3704 -0.0904
     17  -0.5643  1.1245    -1.5009 -0.0549
     18  -0.4646  0.8468    -1.2392 -0.0539
     19  -0.4117  0.6484    -1.1639 -0.0534

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0598     0.0015  0.1897
      1   0.1011  0.0594     0.0023  0.1898
      2   0.0997  0.0603     0.0001  0.1897
      3   0.1029  0.0592     0.0029  0.1901
      4   0.1049  0.0584     0.0035  0.1903
      5   0.1089  0.0561     0.0132  0.1907
      6   0.0387  0.0355     0.0000  0.1069
      7   0.0086  0.0103     0.0000  0.0259
      8   0.0109  0.0105     0.0000  0.0275
      9   0.0127  0.0103     0.0000  0.0291
     10   0.0138  0.0101     0.0001  0.0300
     11   0.0145  0.0099     0.0001  0.0305
     12   0.0162  0.0105     0.0004  0.0331
     13   0.0140  0.0089     0.0002  0.0275
     14   0.0097  0.0058     0.0001  0.0179
     15   0.0101  0.0055     0.0001  0.0181
     16   0.0104  0.0054     0.0004  0.0182
     17   0.0081  0.0037     0.0001  0.0127
     18   0.0083  0.0035     0.0003  0.0128
     19   0.0085  0.0034     0.0004  0.0128

