Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5836  1.6995    -9.2038 -4.2817
      1  -5.1641  1.0619    -6.5392 -3.8968
      2  -4.5987  0.9079    -5.5251 -3.2204
      3  -4.0950  0.9829    -4.9345 -1.8867
      4  -3.7685  1.1008    -4.6322 -1.1768
      5  -3.0171  1.3878    -4.4298 -0.4774
      6  -1.9714  1.3547    -3.9255 -0.2215
      7  -2.7431  1.0686    -4.1376 -1.1696
      8  -2.2435  1.1320    -3.6864 -0.7059
      9  -2.4462  0.9191    -3.6454 -1.4042
     10  -2.7373  0.8795    -3.8934 -1.8896
     11  -2.5720  0.7830    -3.4681 -1.8087
     12  -2.6382  0.6444    -3.4387 -2.1088
     13  -2.4923  0.6447    -3.2077 -1.9376
     14  -2.5458  0.5430    -3.2204 -2.1400
     15  -2.4844  0.4534    -3.0860 -2.1311
     16  -2.5169  0.3793    -3.0928 -2.2061
     17  -2.4399  0.3548    -2.9182 -2.1612
     18  -2.3881  0.3160    -2.8673 -2.1422
     19  -2.4124  0.2635    -2.8712 -2.1933

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0994  0.0598     0.0038  0.1896
      1   0.0977  0.0605     0.0027  0.1894
      2   0.0969  0.0606     0.0031  0.1892
      3   0.0898  0.0619     0.0018  0.1880
      4   0.0826  0.0629     0.0015  0.1868
      5   0.0380  0.0406     0.0004  0.1275
      6   0.0148  0.0103     0.0001  0.0315
      7   0.0168  0.0119     0.0001  0.0363
      8   0.0135  0.0094     0.0001  0.0280
      9   0.0154  0.0100     0.0002  0.0314
     10   0.0151  0.0096     0.0001  0.0301
     11   0.0163  0.0102     0.0004  0.0325
     12   0.0179  0.0105     0.0009  0.0342
     13   0.0178  0.0105     0.0008  0.0341
     14   0.0193  0.0109     0.0013  0.0365
     15   0.0207  0.0111     0.0019  0.0385
     16   0.0221  0.0113     0.0027  0.0400
     17   0.0228  0.0116     0.0030  0.0410
     18   0.0241  0.0120     0.0036  0.0432
     19   0.0256  0.0122     0.0051  0.0450

