trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  268 150.00  0.00 800.00 260.00  0
  1  744 420.00  0.00 800.00  6.44  0
  2  652 370.00  0.00 800.00  3.00  1
  3  707 400.00  0.00 800.00  4.30  0
  4  742 420.00  0.00 800.00  3.00  1
  5  725 410.00  0.00 800.00  4.30  1
  6  726 410.00  0.00 800.00  6.44  1
  7 1420 790.00  0.00 800.00 260.00  0
  8 1421 790.00  0.00 800.00 520.00  0
  9  782 440.00  0.00 800.00 10.80  0
 10  799 450.00  0.00 800.00  8.60  0
 11  870 490.00  0.00 800.00  6.44  0
 12  653 370.00  0.00 800.00  4.30  1
 13  672 380.00  0.00 800.00  6.44  1
 14  745 420.00  0.00 800.00  8.60  0
 15  618 350.00  0.00 800.00  6.44  1
 16  816 460.00  0.00 800.00  6.44  0
 17  600 340.00  0.00 800.00  6.44  1
 18  600 360.00  0.00 800.00  8.60  1
 19  798 450.00  0.00 800.00  6.44  0
