trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1039 580.00  0.00 800.00 52.00  0
  1  693 390.00  0.00 800.00 12.90  1
  2  661 370.00  0.00 800.00 52.00  1
  3  608 340.00  0.00 800.00 104.00  0
  4  769 430.00  0.00 800.00 52.00  1
  5  626 350.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  1
  7  626 360.00  0.00 800.00 52.00  1
  8  626 350.00  0.00 800.00 156.00  0
  9  859 480.00  0.00 800.00 52.00  0
 10  751 420.00  0.00 800.00 52.00  0
 11  751 430.00  0.00 800.00 26.00  1
 12  751 430.00  0.00 800.00 104.00  0
 13  751 440.00  0.00 800.00 104.00  0
 14  751 400.00  0.00 800.00 104.00  0
 15  751 400.00  0.00 800.00 104.00  0
 16  751 410.00  0.00 800.00 26.00  1
 17  751 440.00  0.00 800.00 26.00  1
 18  751 410.00  0.00 800.00 26.00  1
 19  751 440.00  0.00 800.00 104.00  0
