trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  576 330.00  0.00 800.00  0.43  1
  1  698 390.00  0.00 800.00 104.00  0
  2  745 420.00  0.00 800.00  8.60  1
  3  732 410.00  0.00 800.00 26.00  0
  4  783 440.00  0.00 800.00 12.90  1
  5  695 390.00  0.00 800.00 21.50  0
  6  676 380.00  0.00 800.00 17.20  0
  7  694 390.00  0.00 800.00 17.20  0
  8  710 400.00  0.00 800.00 10.80  1
  9  694 400.00  0.00 800.00 12.90  1
 10  694 380.00  0.00 800.00 21.50  0
 11  694 370.00  0.00 800.00 12.90  0
 12  638 360.00  0.00 800.00 10.80  1
 13  638 360.00  0.00 800.00  8.60  1
 14  639 360.00  0.00 800.00 12.90  1
 15  748 420.00  0.00 800.00 17.20  0
 16  639 380.00  0.00 800.00 17.20  0
 17  657 370.00  0.00 800.00 12.90  1
 18  710 400.00  0.00 800.00 10.80  1
 19  657 350.00  0.00 800.00 17.20  0
