trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  170 100.00  0.00 800.00 10.80  1
  1  664 370.00  0.00 800.00 260.00  0
  2  695 390.00  0.00 800.00 21.50  1
  3  769 430.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  0
  5  732 410.00  0.00 800.00 26.00  1
  6  589 330.00  0.00 800.00 52.00  1
  7  822 460.00  0.00 800.00 26.00  0
  8  840 470.00  0.00 800.00 26.00  0
  9  660 370.00  0.00 800.00 26.00  1
 10  840 490.00  0.00 800.00 52.00  1
 11    0  10.00  0.00 800.00  0.43  1
 12    0  20.00  0.00 800.00  0.71  1
 13    0  20.00  0.00 800.00  0.71  1
 14 1421 790.00  0.00 800.00 520.00  0
 15  913 510.00  0.00 800.00 52.00  0
 16  895 500.00  0.00 800.00 52.00  0
 17  570 320.00  0.00 800.00 26.00  1
 18  841 470.00  0.00 800.00 52.00  0
 19  624 350.00  0.00 800.00 26.00  1
