Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.4722  2.2458    -9.0873 -2.1217
      1  -3.5570  1.2045    -5.4254 -1.9256
      2  -4.4966  0.7419    -5.5123 -3.7217
      3  -5.0211  0.6036    -5.7234 -4.6099
      4  -4.7296  0.5750    -5.2537 -4.3873
      5  -4.7144  0.4347    -5.1953 -4.4792
      6  -4.4702  0.7133    -5.0902 -3.7084
      7  -4.0229  1.3533    -6.8880 -1.9007
      8  -3.9676  1.1063    -5.3925 -2.3459
      9  -3.5521  1.6020    -7.3096 -1.2094
     10  -3.4272  1.3429    -5.7836 -1.4338
     11  -3.0189  1.7281    -7.2045 -0.7498
     12  -2.8366  1.4606    -5.6101 -0.8107
     13  -2.7248  1.2565    -4.4837 -0.8477
     14  -2.2558  1.3670    -4.3382 -0.4716
     15  -1.8224  1.4818    -4.6221 -0.2549
     16  -1.6838  1.2433    -3.4894 -0.2495
     17  -1.3076  1.2326    -3.0710 -0.1487
     18  -1.0200  1.1754    -2.6014 -0.1009
     19  -0.9310  0.9612    -2.3257 -0.0990

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1012  0.0589     0.0061  0.1897
      1   0.1009  0.0590     0.0059  0.1897
      2   0.1013  0.0590     0.0058  0.1898
      3   0.0996  0.0594     0.0045  0.1895
      4   0.0951  0.0599     0.0029  0.1885
      5   0.0999  0.0580     0.0080  0.1891
      6   0.0505  0.0413     0.0001  0.1317
      7   0.0124  0.0105     0.0000  0.0292
      8   0.0137  0.0103     0.0000  0.0303
      9   0.0070  0.0053     0.0000  0.0133
     10   0.0079  0.0050     0.0000  0.0136
     11   0.0058  0.0037     0.0000  0.0086
     12   0.0066  0.0032     0.0000  0.0092
     13   0.0070  0.0028     0.0001  0.0096
     14   0.0066  0.0025     0.0001  0.0069
     15   0.0064  0.0024     0.0000  0.0067
     16   0.0067  0.0019     0.0001  0.0068
     17   0.0067  0.0018     0.0001  0.0067
     18   0.0067  0.0017     0.0001  0.0067
     19   0.0069  0.0014     0.0002  0.0067

