trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  458 260.00  0.00 800.00 10.80  1
  1  664 370.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  1
  3  698 390.00  0.00 800.00 104.00  1
  4  663 370.00  0.00 800.00 156.00  0
  5  663 350.00  0.00 800.00 260.00  0
  6  698 390.00  0.00 800.00 104.00  0
  7  698 400.00  0.00 800.00 52.00  0
  8 1421 790.00  0.00 800.00 520.00  0
  9  678 380.00  0.00 800.00 26.00  0
 10 1421 780.00  0.00 800.00 260.00  0
 11  586 330.00  0.00 800.00 17.20  0
 12 1421 790.00  0.00 800.00 260.00  0
 13 1421 780.00  0.00 800.00 260.00  0
 14  674 380.00  0.00 800.00 10.80  0
 15  654 370.00  0.00 800.00  6.44  0
 16 1421 790.00  0.00 800.00 520.00  0
 17  707 400.00  0.00 800.00  4.30  0
 18  760 430.00  0.00 800.00  3.00  0
 19 1420 790.00  0.00 800.00 260.00  0
