Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.6200  2.2435    -9.1093 -2.0845
      1  -3.7657  1.3722    -5.6931 -1.3105
      2  -2.7180  1.0701    -3.9260 -0.7121
      3  -1.9565  1.0176    -3.0212 -0.3456
      4  -1.2178  0.9906    -2.2990 -0.1558
      5  -1.7118  0.7960    -2.4585 -1.1019
      6  -1.9685  0.7756    -2.7169 -1.5849
      7  -1.8629  0.6238    -2.2882 -1.5440
      8  -1.8918  0.4855    -2.2734 -1.7469
      9  -2.1922  1.0167    -3.4598 -1.6939
     10  -2.3312  1.0388    -3.8293 -1.8577
     11  -2.1968  0.8192    -2.8680 -1.8600
     12  -2.2271  0.7208    -2.8499 -1.9155
     13  -2.1554  0.5607    -2.5884 -1.9136
     14  -2.1315  0.8178    -2.6325 -1.8379
     15  -2.0667  0.8727    -2.5971 -1.6935
     16  -2.0214  0.6662    -2.4530 -1.8160
     17  -1.9573  0.5869    -2.3569 -1.7727
     18  -1.9100  0.4810    -2.3201 -1.7638
     19  -1.9126  0.3909    -2.3206 -1.8548

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0590     0.0059  0.1895
      1   0.0992  0.0590     0.0056  0.1893
      2   0.0967  0.0590     0.0052  0.1887
      3   0.0844  0.0581     0.0037  0.1846
      4   0.0601  0.0470     0.0021  0.1549
      5   0.0690  0.0515     0.0023  0.1681
      6   0.0728  0.0544     0.0018  0.1745
      7   0.0839  0.0550     0.0045  0.1797
      8   0.0947  0.0539     0.0093  0.1834
      9   0.0356  0.0281     0.0001  0.0868
     10   0.0314  0.0255     0.0001  0.0776
     11   0.0360  0.0258     0.0005  0.0821
     12   0.0392  0.0275     0.0015  0.0887
     13   0.0436  0.0277     0.0042  0.0930
     14   0.0300  0.0188     0.0004  0.0614
     15   0.0288  0.0185     0.0001  0.0600
     16   0.0308  0.0182     0.0021  0.0612
     17   0.0333  0.0190     0.0032  0.0654
     18   0.0361  0.0195     0.0052  0.0685
     19   0.0387  0.0197     0.0077  0.0714

