Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6350  2.7207    -9.0030 -0.5074
      1  -2.3197  1.4556    -4.5836 -0.2615
      2  -1.1608  0.9250    -2.3437 -0.1356
      3  -0.5226  0.7726    -1.1885 -0.0659
      4  -0.2560  0.7538    -0.7034 -0.0374
      5  -0.1322  0.7482    -0.4793 -0.0250
      6  -1.0972  2.2968    -7.3532 -0.0301
      7  -0.6519  1.8038    -5.7283 -0.0279
      8  -0.3825  1.3571    -2.6218 -0.0268
      9  -0.2266  1.0312    -0.6895 -0.0256
     10  -0.1358  0.7782    -0.4740 -0.0248
     11  -0.0833  0.5924    -0.3630 -0.0241
     12  -0.0529  0.4241    -0.3032 -0.0240
     13  -0.0661  0.5339    -0.2710 -0.0238
     14  -0.0418  0.3975    -0.2668 -0.0236
     15  -0.0283  0.2825    -0.2655 -0.0235
     16  -0.0213  0.2012    -0.2646 -0.0234
     17  -0.0166  0.1496    -0.2628 -0.0234
     18  -0.0145  0.1070    -0.2624 -0.0233
     19  -0.0126  0.0801    -0.2613 -0.0233

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0585     0.0072  0.1899
      1   0.1028  0.0584     0.0077  0.1900
      2   0.1036  0.0579     0.0087  0.1901
      3   0.1047  0.0575     0.0095  0.1902
      4   0.1073  0.0568     0.0113  0.1906
      5   0.1093  0.0558     0.0136  0.1907
      6   0.0274  0.0267     0.0000  0.0755
      7   0.0310  0.0264     0.0000  0.0784
      8   0.0331  0.0260     0.0001  0.0799
      9   0.0366  0.0259     0.0009  0.0825
     10   0.0397  0.0257     0.0035  0.0855
     11   0.0430  0.0258     0.0070  0.0886
     12   0.0439  0.0255     0.0084  0.0891
     13   0.0371  0.0209     0.0068  0.0732
     14   0.0392  0.0208     0.0084  0.0749
     15   0.0396  0.0207     0.0091  0.0751
     16   0.0400  0.0205     0.0098  0.0753
     17   0.0418  0.0206     0.0113  0.0772
     18   0.0421  0.0205     0.0120  0.0774
     19   0.0439  0.0207     0.0139  0.0795

