Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5235  2.9418    -8.8191 -0.1454
      1  -2.9247  2.8738    -8.6317 -0.1075
      2  -2.2628  2.6520    -8.2714 -0.0842
      3  -1.6795  2.2916    -7.5681 -0.0711
      4  -1.2501  1.8785    -6.2214 -0.0640
      5  -0.8501  1.6340    -5.0137 -0.0492
      6  -0.5895  1.4017    -3.2957 -0.0402
      7  -0.7828  1.8509    -5.9763 -0.0333
      8  -0.4969  1.4092    -3.2806 -0.0316
      9  -0.3239  1.1076    -1.0892 -0.0294
     10  -0.2145  0.8749    -0.7276 -0.0276
     11  -0.1464  0.6446    -0.5843 -0.0270
     12  -0.1010  0.4970    -0.5041 -0.0260
     13  -0.0703  0.3847    -0.4614 -0.0252
     14  -0.0496  0.2971    -0.4107 -0.0246
     15  -0.0343  0.2489    -0.2977 -0.0240
     16  -0.0251  0.1893    -0.2691 -0.0237
     17  -0.0217  0.1378    -0.2683 -0.0236
     18  -0.0177  0.1036    -0.2657 -0.0235
     19  -0.0166  0.0778    -0.2653 -0.0235

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0052  0.0122     0.0000  0.0261
      1   0.0080  0.0144     0.0000  0.0337
      2   0.0112  0.0160     0.0000  0.0399
      3   0.0140  0.0168     0.0000  0.0442
      4   0.0161  0.0170     0.0000  0.0468
      5   0.0201  0.0190     0.0000  0.0542
      6   0.0242  0.0206     0.0001  0.0609
      7   0.0179  0.0164     0.0000  0.0469
      8   0.0193  0.0163     0.0001  0.0479
      9   0.0217  0.0167     0.0001  0.0511
     10   0.0243  0.0172     0.0009  0.0542
     11   0.0255  0.0171     0.0017  0.0550
     12   0.0276  0.0174     0.0027  0.0578
     13   0.0298  0.0177     0.0040  0.0604
     14   0.0320  0.0181     0.0059  0.0629
     15   0.0345  0.0190     0.0073  0.0675
     16   0.0366  0.0193     0.0084  0.0696
     17   0.0370  0.0192     0.0089  0.0699
     18   0.0386  0.0192     0.0101  0.0717
     19   0.0388  0.0192     0.0105  0.0719

