Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6122  2.7299    -9.0003 -0.4851
      1  -2.3002  1.4587    -4.5794 -0.2496
      2  -1.1471  0.9207    -2.3409 -0.1309
      3  -0.6210  0.7249    -1.3236 -0.0772
      4  -0.3425  0.6267    -0.8157 -0.0495
      5  -0.1383  0.7163    -0.5188 -0.0256
      6  -0.4941  1.5774    -4.4457 -0.0269
      7  -0.2928  1.2236    -1.1937 -0.0254
      8  -0.1719  0.9345    -0.4686 -0.0244
      9  -0.1313  0.8278    -0.2850 -0.0239
     10  -0.0763  0.6148    -0.2671 -0.0236
     11  -0.0462  0.4562    -0.2636 -0.0234
     12  -0.1170  0.7920    -0.2685 -0.0237
     13  -0.0678  0.5831    -0.2646 -0.0234
     14  -0.0413  0.4290    -0.2625 -0.0233
     15  -0.0260  0.3030    -0.2615 -0.0233
     16  -0.0187  0.2234    -0.2607 -0.0232
     17  -0.0145  0.1574    -0.2604 -0.0232
     18  -0.0125  0.1167    -0.2601 -0.0232
     19  -0.0114  0.0864    -0.2600 -0.0232

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0587     0.0070  0.1898
      1   0.1020  0.0586     0.0071  0.1899
      2   0.1021  0.0585     0.0076  0.1899
      3   0.1030  0.0581     0.0091  0.1899
      4   0.1051  0.0574     0.0112  0.1903
      5   0.1026  0.0579     0.0093  0.1898
      6   0.0441  0.0380     0.0001  0.1175
      7   0.0499  0.0381     0.0001  0.1228
      8   0.0553  0.0380     0.0036  0.1276
      9   0.0612  0.0400     0.0067  0.1370
     10   0.0654  0.0395     0.0107  0.1403
     11   0.0695  0.0392     0.0147  0.1435
     12   0.0447  0.0258     0.0071  0.0893
     13   0.0470  0.0254     0.0096  0.0911
     14   0.0491  0.0252     0.0123  0.0930
     15   0.0495  0.0250     0.0136  0.0932
     16   0.0515  0.0250     0.0152  0.0950
     17   0.0518  0.0248     0.0156  0.0951
     18   0.0538  0.0249     0.0171  0.0970
     19   0.0558  0.0250     0.0189  0.0993

