trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  540 310.00  0.00 800.00  0.43  1
  1  698 390.00  0.00 800.00 104.00  0
  2  745 420.00  0.00 800.00  8.60  0
  3  742 420.00  0.00 800.00  3.00  0
  4  687 390.00  0.00 800.00  2.00  0
  5  758 430.00  0.00 800.00  1.00  0
  6  758 440.00  0.00 800.00  0.71  0
  7  866 490.00  0.00 800.00  1.00  0
  8  830 470.00  0.00 800.00  1.00  0
  9  830 480.00  0.00 800.00  0.71  0
 10  812 460.00  0.00 800.00  1.00  0
 11  794 450.00  0.00 800.00  1.00  0
 12  794 440.00  0.00 800.00  0.71  0
 13  848 480.00  0.00 800.00  1.00  0
 14  830 470.00  0.00 800.00  1.00  0
 15  830 480.00  0.00 800.00  2.00  0
 16  812 460.00  0.00 800.00  1.00  0
 17  812 460.00  0.00 800.00  2.00  0
 18  919 520.00  0.00 800.00  0.71  0
 19  794 450.00  0.00 800.00  1.00  0
