Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5382  1.6767    -9.1964 -4.1778
      1  -5.1462  0.9566    -6.5298 -4.0263
      2  -4.4933  0.7053    -5.3107 -3.9601
      3  -4.2012  0.6253    -4.7955 -3.7841
      4  -4.0444  0.5866    -4.5435 -3.6579
      5  -3.8661  0.6514    -4.3995 -3.1098
      6  -3.2143  1.3120    -4.4622 -0.7486
      7  -2.3628  1.5805    -5.0569 -0.3005
      8  -2.8641  1.2960    -4.7126 -1.0202
      9  -2.4097  1.4641    -5.4212 -0.5946
     10  -2.5940  1.2330    -4.4549 -1.1534
     11  -2.5023  1.0238    -3.8464 -1.2010
     12  -2.1470  1.2004    -3.7701 -0.7502
     13  -2.0591  1.0011    -3.3871 -0.7669
     14  -2.2582  0.8707    -3.4368 -1.2345
     15  -2.4417  0.7886    -3.5631 -1.6049
     16  -2.2950  0.7143    -3.2874 -1.5040
     17  -2.4008  0.6334    -3.3428 -1.7344
     18  -2.2699  0.5941    -3.1170 -1.6408
     19  -2.3193  0.5149    -3.1292 -1.7974

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0594     0.0045  0.1898
      1   0.1003  0.0597     0.0038  0.1898
      2   0.1003  0.0599     0.0035  0.1898
      3   0.1019  0.0598     0.0041  0.1902
      4   0.1039  0.0595     0.0050  0.1906
      5   0.0995  0.0611     0.0035  0.1902
      6   0.0241  0.0246     0.0001  0.0713
      7   0.0093  0.0065     0.0000  0.0189
      8   0.0109  0.0075     0.0000  0.0218
      9   0.0083  0.0052     0.0000  0.0145
     10   0.0093  0.0056     0.0001  0.0169
     11   0.0098  0.0053     0.0001  0.0172
     12   0.0082  0.0042     0.0001  0.0132
     13   0.0085  0.0040     0.0002  0.0132
     14   0.0090  0.0043     0.0003  0.0137
     15   0.0093  0.0045     0.0003  0.0139
     16   0.0098  0.0047     0.0004  0.0157
     17   0.0103  0.0049     0.0005  0.0169
     18   0.0106  0.0051     0.0005  0.0179
     19   0.0112  0.0053     0.0006  0.0186

