Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4239  2.8002    -8.9767 -0.3386
      1  -4.2417  2.8354    -8.9408 -0.2628
      2  -3.9573  2.8774    -8.8805 -0.1962
      3  -3.5402  2.8977    -8.7723 -0.1427
      4  -2.9901  2.8398    -8.5714 -0.1058
      5  -2.3942  2.6566    -8.1896 -0.0833
      6  -1.8655  2.3651    -7.4845 -0.0705
      7  -1.4739  2.0407    -6.4301 -0.0635
      8  -3.4619  2.4066    -8.1075 -0.2524
      9  -3.2654  2.2866    -7.5561 -0.2336
     10  -2.3474  2.0896    -7.0318 -0.1519
     11  -2.1027  1.8599    -5.9585 -0.1413
     12  -3.0183  1.7467    -6.4844 -0.5391
     13  -2.4101  1.6288    -5.7702 -0.3492
     14  -2.2729  1.4303    -4.7509 -0.3442
     15  -2.7770  1.2837    -5.0813 -1.0165
     16  -3.1718  1.1854    -5.4054 -1.7420
     17  -2.8636  1.0408    -4.4734 -1.6035
     18  -2.8206  0.9183    -4.2797 -1.6376
     19  -2.5412  0.8774    -3.8067 -1.3706

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0005  0.0020     0.0000  0.0006
      1   0.0009  0.0026     0.0000  0.0040
      2   0.0015  0.0033     0.0000  0.0058
      3   0.0024  0.0041     0.0000  0.0067
      4   0.0036  0.0046     0.0000  0.0087
      5   0.0049  0.0048     0.0000  0.0107
      6   0.0061  0.0046     0.0000  0.0116
      7   0.0070  0.0043     0.0000  0.0122
      8   0.0044  0.0034     0.0000  0.0065
      9   0.0054  0.0031     0.0000  0.0066
     10   0.0056  0.0029     0.0000  0.0066
     11   0.0062  0.0024     0.0000  0.0067
     12   0.0060  0.0026     0.0000  0.0067
     13   0.0061  0.0025     0.0000  0.0067
     14   0.0065  0.0020     0.0001  0.0067
     15   0.0066  0.0020     0.0001  0.0067
     16   0.0066  0.0020     0.0001  0.0067
     17   0.0067  0.0019     0.0001  0.0067
     18   0.0069  0.0015     0.0002  0.0068
     19   0.0069  0.0015     0.0002  0.0068

