Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.7760  2.6476    -9.0179 -0.7476
      1  -7.1593  1.3428    -7.5013 -5.3715
      2  -8.1954  0.8876    -3.7626 -7.3786
      3  -8.5773  0.7267    -2.3929 -7.9830
      4  -8.8430  0.6613    -1.3754 -8.4377
      5  -8.9660  0.5735    -0.9987 -8.6989
      6  -8.9973  0.4326    -0.9796 -8.7237
      7  -9.0221  0.3406    -0.9431 -8.7533
      8  -9.0954  0.2977    -0.7075 -8.9524
      9  -9.1039  0.2340    -0.7013 -8.9572
     10  -9.1098  0.1935    -0.6945 -8.9618
     11  -9.1128  0.1693    -0.6912 -8.9641
     12  -9.1148  0.1554    -0.6886 -8.9659
     13  -9.1161  0.1476    -0.6865 -8.9673
     14  -9.1171  0.1432    -0.6847 -8.9684
     15  -9.1241  0.1359    -0.6657 -8.9756
     16  -9.1247  0.1343    -0.6646 -8.9762
     17  -9.1401  0.1228    -0.6200 -8.9901
     18  -9.1527  0.1125    -0.5857 -9.0039
     19  -9.1633  0.1030    -0.5590 -9.0191

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1025  0.0586     0.0072  0.1899
      1   0.1014  0.0588     0.0064  0.1898
      2   0.1024  0.0584     0.0075  0.1899
      3   0.1052  0.0573     0.0105  0.1902
      4   0.1082  0.0566     0.0124  0.1907
      5   0.1154  0.0551     0.0171  0.1920
      6   0.1191  0.0528     0.0245  0.1923
      7   0.1249  0.0503     0.0326  0.1930
      8   0.1284  0.0493     0.0364  0.1935
      9   0.1305  0.0477     0.0418  0.1937
     10   0.1329  0.0462     0.0469  0.1939
     11   0.1343  0.0452     0.0502  0.1940
     12   0.1354  0.0443     0.0530  0.1940
     13   0.1364  0.0436     0.0555  0.1941
     14   0.1373  0.0430     0.0574  0.1942
     15   0.1407  0.0416     0.0622  0.1946
     16   0.1413  0.0412     0.0637  0.1947
     17   0.1447  0.0401     0.0676  0.1952
     18   0.1478  0.0390     0.0716  0.1956
     19   0.1508  0.0378     0.0760  0.1960

