Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.4532  2.0830    -6.7959 -0.3659
      1  -5.1169  1.1761    -6.9742 -3.5430
      2  -6.0280  0.7657    -7.0762 -5.2929
      3  -5.5093  0.5835    -6.1882 -5.1208
      4  -5.3528  0.5035    -5.8557 -5.0458
      5  -5.2042  0.4985    -5.6868 -4.8436
      6  -5.2731  0.3388    -5.6917 -5.2682
      7  -5.2754  0.2600    -5.6776 -5.2695
      8  -5.2869  0.1896    -5.6754 -5.2754
      9  -5.2869  0.1520    -5.6686 -5.2757
     10  -5.2913  0.1221    -5.6682 -5.2789
     11  -5.2924  0.1059    -5.6671 -5.2798
     12  -5.2912  0.0951    -5.6603 -5.2798
     13  -5.2903  0.0886    -5.6550 -5.2798
     14  -5.2912  0.0845    -5.6549 -5.2806
     15  -5.2916  0.0822    -5.6547 -5.2811
     16  -5.2917  0.0811    -5.6543 -5.2812
     17  -5.2917  0.0805    -5.6540 -5.2813
     18  -5.2913  0.0792    -5.6512 -5.2813
     19  -5.2909  0.0784    -5.6493 -5.2813

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0591     0.0057  0.1898
      1   0.1012  0.0591     0.0057  0.1898
      2   0.1014  0.0592     0.0057  0.1899
      3   0.1007  0.0592     0.0052  0.1897
      4   0.1035  0.0585     0.0070  0.1901
      5   0.1013  0.0591     0.0060  0.1898
      6   0.1129  0.0554     0.0153  0.1914
      7   0.1143  0.0544     0.0190  0.1915
      8   0.1176  0.0525     0.0254  0.1918
      9   0.1182  0.0520     0.0272  0.1919
     10   0.1205  0.0507     0.0313  0.1921
     11   0.1214  0.0501     0.0333  0.1922
     12   0.1219  0.0497     0.0347  0.1922
     13   0.1223  0.0494     0.0357  0.1923
     14   0.1232  0.0488     0.0375  0.1923
     15   0.1240  0.0484     0.0390  0.1924
     16   0.1244  0.0481     0.0399  0.1925
     17   0.1246  0.0480     0.0404  0.1925
     18   0.1248  0.0478     0.0410  0.1925
     19   0.1249  0.0477     0.0414  0.1925

