Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.1213  2.8928    -8.9352 -0.2051
      1  -3.7940  2.9539    -8.8816 -0.1488
      2  -3.2666  2.9540    -8.7465 -0.1066
      3  -2.6381  2.8357    -8.4915 -0.0806
      4  -2.0110  2.5678    -8.0049 -0.0656
      5  -1.5030  2.2049    -7.1145 -0.0573
      6  -1.0308  1.7418    -5.4878 -0.0510
      7  -0.6803  1.4275    -3.5378 -0.0425
      8  -0.4716  1.1655    -1.6834 -0.0373
      9  -0.3330  0.9358    -1.0665 -0.0340
     10  -0.2395  0.7438    -0.8207 -0.0316
     11  -0.1753  0.5891    -0.7113 -0.0297
     12  -0.1317  0.4633    -0.6008 -0.0284
     13  -0.0996  0.3663    -0.5187 -0.0272
     14  -0.1543  0.4384    -0.6323 -0.0310
     15  -0.1284  0.3457    -0.5354 -0.0300
     16  -0.2194  0.5121    -0.7280 -0.0375
     17  -0.1928  0.4016    -0.6938 -0.0366
     18  -0.1963  0.3337    -0.6994 -0.0386
     19  -0.2107  0.2909    -0.7122 -0.0425

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0016  0.0050     0.0000  0.0068
      1   0.0027  0.0064     0.0000  0.0119
      2   0.0043  0.0077     0.0000  0.0163
      3   0.0062  0.0086     0.0000  0.0198
      4   0.0081  0.0091     0.0000  0.0226
      5   0.0097  0.0092     0.0000  0.0246
      6   0.0109  0.0093     0.0000  0.0261
      7   0.0127  0.0101     0.0001  0.0293
      8   0.0145  0.0107     0.0001  0.0323
      9   0.0161  0.0112     0.0004  0.0343
     10   0.0178  0.0116     0.0008  0.0369
     11   0.0194  0.0120     0.0013  0.0392
     12   0.0209  0.0123     0.0018  0.0408
     13   0.0224  0.0126     0.0025  0.0430
     14   0.0193  0.0103     0.0018  0.0352
     15   0.0204  0.0104     0.0023  0.0368
     16   0.0160  0.0083     0.0012  0.0279
     17   0.0168  0.0084     0.0015  0.0291
     18   0.0177  0.0085     0.0019  0.0304
     19   0.0187  0.0087     0.0023  0.0319

