Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.6275  1.2915    -5.5585 -6.3235
      1  -6.9304  1.0111    -8.1058 -6.0900
      2  -6.4790  0.9113    -7.2848 -5.6511
      3  -6.3200  0.8355    -6.9557 -5.5541
      4  -6.1105  0.9022    -6.7681 -4.9138
      5  -5.5154  1.4049    -6.7036 -2.1736
      6  -4.5254  1.8470    -7.1974 -0.8714
      7  -3.4775  2.1567    -7.8672 -0.4022
      8  -3.2862  1.9785    -6.8816 -0.3929
      9  -2.4204  2.0076    -7.0151 -0.2189
     10  -2.1771  1.7605    -5.6637 -0.2062
     11  -1.5999  1.5841    -4.8683 -0.1403
     12  -1.4483  1.3458    -3.8295 -0.1355
     13  -1.9832  1.3502    -4.3810 -0.3634
     14  -2.4653  1.2840    -4.7684 -0.8775
     15  -2.1073  1.1684    -3.9007 -0.6982
     16  -2.2992  1.0389    -3.9123 -1.1176
     17  -2.6487  1.0573    -4.3942 -1.5123
     18  -2.5957  0.9149    -4.1358 -1.5488
     19  -2.3463  0.8393    -3.5975 -1.3883

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0993  0.0603     0.0001  0.1896
      1   0.0977  0.0608     0.0001  0.1894
      2   0.0971  0.0614     0.0001  0.1895
      3   0.0991  0.0612     0.0007  0.1899
      4   0.0911  0.0626     0.0001  0.1888
      5   0.0305  0.0319     0.0000  0.0933
      6   0.0086  0.0076     0.0000  0.0200
      7   0.0050  0.0038     0.0000  0.0069
      8   0.0059  0.0034     0.0000  0.0070
      9   0.0056  0.0031     0.0000  0.0067
     10   0.0063  0.0026     0.0000  0.0068
     11   0.0064  0.0024     0.0000  0.0068
     12   0.0068  0.0020     0.0001  0.0068
     13   0.0067  0.0021     0.0001  0.0068
     14   0.0067  0.0022     0.0001  0.0068
     15   0.0068  0.0021     0.0001  0.0068
     16   0.0069  0.0021     0.0001  0.0069
     17   0.0068  0.0021     0.0001  0.0068
     18   0.0070  0.0018     0.0002  0.0069
     19   0.0070  0.0018     0.0002  0.0069

