Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.8091  1.5633    -8.6791 -4.7261
      1  -5.5414  0.9649    -6.8123 -4.5288
      2  -4.9967  0.7871    -5.7989 -4.3290
      3  -4.6998  0.7584    -5.3843 -3.9088
      4  -4.4915  0.8030    -5.0826 -3.1972
      5  -4.1601  1.0255    -4.9333 -1.7271
      6  -3.1839  1.5296    -4.8248 -0.4852
      7  -2.1106  1.5295    -4.4763 -0.2259
      8  -1.4307  1.4267    -3.8888 -0.1310
      9  -1.9761  1.4234    -4.4366 -0.3734
     10  -1.5890  1.3739    -3.9086 -0.2492
     11  -1.7905  1.2390    -3.6665 -0.5237
     12  -1.9543  1.1080    -3.5773 -0.8539
     13  -1.7528  0.9725    -2.9724 -0.7763
     14  -1.8322  0.8377    -2.9407 -1.0318
     15  -1.6882  0.7434    -2.6132 -0.9345
     16  -1.7319  0.6313    -2.6114 -1.1097
     17  -1.6509  0.5444    -2.4236 -1.0832
     18  -1.6996  0.4724    -2.4501 -1.2063
     19  -1.6357  0.4164    -2.3207 -1.1714

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0998  0.0597     0.0035  0.1896
      1   0.0985  0.0603     0.0025  0.1895
      2   0.0983  0.0603     0.0027  0.1894
      3   0.0975  0.0603     0.0028  0.1892
      4   0.0969  0.0612     0.0027  0.1894
      5   0.0809  0.0624     0.0011  0.1859
      6   0.0191  0.0198     0.0001  0.0565
      7   0.0091  0.0054     0.0001  0.0163
      8   0.0083  0.0044     0.0001  0.0134
      9   0.0080  0.0044     0.0001  0.0132
     10   0.0080  0.0043     0.0001  0.0131
     11   0.0085  0.0046     0.0001  0.0137
     12   0.0090  0.0049     0.0001  0.0149
     13   0.0096  0.0051     0.0002  0.0167
     14   0.0103  0.0054     0.0003  0.0180
     15   0.0109  0.0057     0.0004  0.0190
     16   0.0116  0.0058     0.0006  0.0197
     17   0.0123  0.0060     0.0007  0.0203
     18   0.0130  0.0062     0.0009  0.0207
     19   0.0137  0.0064     0.0011  0.0223

