Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4841  2.7789    -8.9844 -0.3769
      1  -4.3958  2.8099    -8.9730 -0.3190
      2  -4.2430  2.8557    -8.9519 -0.2502
      3  -4.0051  2.9093    -8.9152 -0.1922
      4  -3.6961  2.9479    -8.8587 -0.1496
      5  -3.3508  2.9517    -8.7800 -0.1211
      6  -2.3631  2.5943    -8.1997 -0.0880
      7  -1.8960  2.2911    -7.4438 -0.0768
      8  -3.5340  2.4212    -8.4274 -0.3240
      9  -3.3167  2.2918    -8.1100 -0.3044
     10  -4.4405  2.1069    -8.5458 -1.1020
     11  -4.4171  1.9991    -8.4070 -1.3327
     12  -3.7723  1.6211    -6.9135 -1.1673
     13  -4.2548  1.4204    -7.1066 -2.3540
     14  -4.2356  1.3154    -6.7763 -2.5165
     15  -3.8157  1.0803    -5.5197 -2.3292
     16  -4.1868  1.0059    -5.8547 -2.9401
     17  -4.4959  0.9836    -6.2068 -3.3705
     18  -4.2447  0.8439    -5.5369 -3.2490
     19  -4.4284  0.8016    -5.7070 -3.5326

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0005  0.0017     0.0000  0.0001
      1   0.0008  0.0023     0.0000  0.0035
      2   0.0013  0.0029     0.0000  0.0053
      3   0.0021  0.0036     0.0000  0.0062
      4   0.0032  0.0040     0.0000  0.0067
      5   0.0044  0.0042     0.0000  0.0070
      6   0.0053  0.0043     0.0000  0.0094
      7   0.0063  0.0039     0.0000  0.0103
      8   0.0045  0.0034     0.0000  0.0065
      9   0.0055  0.0030     0.0000  0.0066
     10   0.0052  0.0032     0.0000  0.0066
     11   0.0060  0.0027     0.0000  0.0067
     12   0.0062  0.0024     0.0000  0.0067
     13   0.0064  0.0023     0.0000  0.0067
     14   0.0067  0.0019     0.0001  0.0068
     15   0.0068  0.0018     0.0001  0.0068
     16   0.0068  0.0019     0.0001  0.0068
     17   0.0068  0.0018     0.0001  0.0068
     18   0.0069  0.0018     0.0002  0.0068
     19   0.0069  0.0018     0.0002  0.0068

