Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5361  2.7588    -8.9908 -0.4197
      1  -4.4871  2.7766    -8.9846 -0.3832
      2  -4.4027  2.8046    -8.9734 -0.3313
      3  -4.2747  2.8414    -8.9554 -0.2712
      4  -4.1179  2.8775    -8.9313 -0.2275
      5  -3.9552  2.9048    -8.9037 -0.1961
      6  -2.7048  2.5583    -8.2848 -0.1260
      7  -2.2757  2.2963    -7.6028 -0.1097
      8  -1.5685  1.9627    -6.5782 -0.0816
      9  -1.3044  1.6336    -4.7976 -0.0766
     10  -0.9045  1.3511    -3.1920 -0.0611
     11  -0.6589  1.1302    -2.1243 -0.0514
     12  -0.4913  0.9715    -1.5704 -0.0439
     13  -0.4261  0.7571    -1.4386 -0.0434
     14  -0.3221  0.7119    -1.1596 -0.0368
     15  -0.2619  0.5718    -1.0041 -0.0350
     16  -0.2031  0.5235    -0.8290 -0.0318
     17  -0.1663  0.4250    -0.7536 -0.0305
     18  -0.1312  0.3766    -0.6696 -0.0287
     19  -0.1104  0.3060    -0.6031 -0.0280

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0005  0.0018     0.0000  0.0012
      1   0.0009  0.0023     0.0000  0.0040
      2   0.0015  0.0029     0.0000  0.0054
      3   0.0023  0.0035     0.0000  0.0062
      4   0.0034  0.0038     0.0000  0.0066
      5   0.0046  0.0038     0.0000  0.0068
      6   0.0049  0.0039     0.0000  0.0069
      7   0.0059  0.0035     0.0000  0.0075
      8   0.0064  0.0035     0.0000  0.0094
      9   0.0070  0.0030     0.0001  0.0098
     10   0.0073  0.0031     0.0001  0.0109
     11   0.0077  0.0032     0.0001  0.0117
     12   0.0080  0.0034     0.0002  0.0124
     13   0.0082  0.0032     0.0004  0.0124
     14   0.0084  0.0035     0.0004  0.0128
     15   0.0087  0.0036     0.0005  0.0131
     16   0.0090  0.0039     0.0005  0.0135
     17   0.0094  0.0041     0.0005  0.0138
     18   0.0098  0.0044     0.0006  0.0152
     19   0.0102  0.0046     0.0006  0.0163

