Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2270  1.3848    -3.5618 -0.1213
      1  -0.7211  1.3441    -2.9332 -0.0656
      2  -0.4810  1.3607    -2.7843 -0.0385
      3  -0.5993  1.3426    -2.8947 -0.1504
      4  -1.4045  2.1603    -7.3429 -0.2593
      5  -1.0041  1.6959    -5.6913 -0.2457
      6  -1.0314  1.5846    -5.2148 -0.3220
      7  -1.9679  2.2790    -7.8426 -0.4019
      8  -1.5229  1.8533    -6.6921 -0.3954
      9  -1.2369  1.4497    -4.5365 -0.3921
     10  -1.0120  1.1800    -2.3860 -0.3691
     11  -0.8643  0.9493    -1.5801 -0.3539
     12  -1.1253  1.2061    -2.6277 -0.4772
     13  -1.0063  0.9094    -1.8185 -0.4782
     14  -0.9129  0.7231    -1.5500 -0.4625
     15  -1.2290  1.1633    -2.5138 -0.5388
     16  -1.1208  0.8863    -1.9679 -0.5399
     17  -1.1097  0.7257    -1.8786 -0.5972
     18  -1.0403  0.5880    -1.7303 -0.5870
     19  -0.9901  0.4850    -1.5819 -0.5776

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0960  0.0618     0.0001  0.1893
      1   0.0973  0.0615     0.0001  0.1895
      2   0.0986  0.0611     0.0001  0.1896
      3   0.0969  0.0617     0.0001  0.1895
      4   0.0372  0.0382     0.0000  0.1115
      5   0.0419  0.0381     0.0000  0.1154
      6   0.0437  0.0390     0.0000  0.1193
      7   0.0131  0.0137     0.0000  0.0370
      8   0.0153  0.0137     0.0000  0.0389
      9   0.0167  0.0135     0.0001  0.0399
     10   0.0192  0.0140     0.0001  0.0428
     11   0.0216  0.0143     0.0005  0.0457
     12   0.0161  0.0108     0.0001  0.0332
     13   0.0166  0.0106     0.0004  0.0334
     14   0.0181  0.0107     0.0009  0.0345
     15   0.0115  0.0069     0.0001  0.0208
     16   0.0119  0.0067     0.0003  0.0211
     17   0.0127  0.0068     0.0006  0.0225
     18   0.0135  0.0070     0.0008  0.0237
     19   0.0143  0.0071     0.0010  0.0247

