Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3358  1.7982    -6.1913 -0.2323
      1  -3.4994  1.5349    -7.4727 -2.1677
      2  -4.2891  1.5794    -8.2977 -3.1778
      3  -5.3931  1.7569    -8.9363 -3.7900
      4  -6.7447  1.5482    -9.2086 -4.7443
      5  -7.7133  1.2073    -5.2410 -6.1539
      6  -8.2021  1.0260    -3.3765 -7.0586
      7  -7.7741  1.0937    -8.1878 -6.6227
      8  -7.2377  1.3158    -9.0262 -5.3588
      9  -6.5135  1.6854    -8.7366 -2.4697
     10  -6.7147  1.3890    -8.6931 -4.2433
     11  -6.8340  1.1622    -8.6677 -5.3959
     12  -6.3099  1.2567    -8.0757 -4.3488
     13  -6.3967  1.0593    -7.9975 -5.0518
     14  -6.6151  0.9599    -8.1465 -5.5745
     15  -6.4780  0.8269    -7.7136 -5.5525
     16  -6.6184  0.7389    -7.8129 -5.8544
     17  -6.4790  0.6923    -7.5456 -5.7387
     18  -6.5763  0.6173    -7.5991 -5.9433
     19  -6.4947  0.5303    -7.3499 -5.9056

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0957  0.0606     0.0024  0.1890
      1   0.0919  0.0612     0.0020  0.1883
      2   0.0846  0.0616     0.0018  0.1868
      3   0.0556  0.0527     0.0007  0.1696
      4   0.0264  0.0218     0.0004  0.0660
      5   0.0240  0.0188     0.0005  0.0577
      6   0.0250  0.0188     0.0008  0.0585
      7   0.0212  0.0170     0.0003  0.0513
      8   0.0144  0.0113     0.0001  0.0332
      9   0.0084  0.0066     0.0000  0.0180
     10   0.0094  0.0063     0.0000  0.0186
     11   0.0099  0.0060     0.0001  0.0189
     12   0.0081  0.0047     0.0000  0.0135
     13   0.0085  0.0044     0.0001  0.0136
     14   0.0091  0.0047     0.0002  0.0149
     15   0.0096  0.0049     0.0003  0.0165
     16   0.0103  0.0052     0.0004  0.0178
     17   0.0104  0.0054     0.0005  0.0183
     18   0.0111  0.0056     0.0006  0.0191
     19   0.0118  0.0058     0.0007  0.0198

