trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1319 740.00  0.00 800.00  4.30  1
  1  881 490.00  0.00 800.00 520.00  0
  2  664 370.00  0.00 800.00 260.00  1
  3  611 340.00  0.00 800.00 520.00  1
  4  791 440.00  0.00 800.00 520.00  0
  5  701 390.00  0.00 800.00 520.00  0
  6  701 410.00  0.00 800.00 260.00  0
  7  608 340.00  0.00 800.00 104.00  1
  8  556 310.00  0.00 800.00 260.00  1
  9  736 410.00  0.00 800.00 260.00  1
 10  629 350.00  0.00 800.00 520.00  1
 11  935 520.00  0.00 800.00 520.00  0
 12  791 440.00  0.00 800.00 520.00  0
 13  593 330.00  0.00 800.00 520.00  0
 14  646 360.00  0.00 800.00 260.00  1
 15  611 340.00  0.00 800.00 520.00  1
 16  575 320.00  0.00 800.00 520.00  1
 17  791 440.00  0.00 800.00 520.00  1
 18   12  10.00  0.00 800.00 26.00  1
 19 1025 570.00  0.00 800.00 520.00  1
