trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  115  70.00  0.00 800.00  8.60  1
  1  698 390.00  0.00 800.00 104.00  0
  2  745 420.00  0.00 800.00  8.60  1
  3  822 460.00  0.00 800.00 26.00  0
  4  694 390.00  0.00 800.00 17.20  0
  5  693 390.00  0.00 800.00 12.90  1
  6  694 390.00  0.00 800.00 12.90  0
  7  693 380.00  0.00 800.00 17.20  0
  8  693 370.00  0.00 800.00 10.80  1
  9  693 410.00  0.00 800.00 17.20  0
 10  693 380.00  0.00 800.00 10.80  1
 11  693 390.00  0.00 800.00 10.80  1
 12  693 370.00  0.00 800.00 10.80  1
 13  693 370.00  0.00 800.00 17.20  0
 14  693 370.00  0.00 800.00 10.80  1
 15  693 400.00  0.00 800.00 17.20  0
 16  693 410.00  0.00 800.00 10.80  1
 17  746 420.00  0.00 800.00 10.80  1
 18  746 410.00  0.00 800.00  8.60  1
 19  746 400.00  0.00 800.00 12.90  0
