Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0555  1.9222    -6.4898 -0.0624
      1  -1.4012  1.9623    -6.9209 -0.3731
      2  -1.9142  2.1751    -7.6725 -0.5868
      3  -1.4789  1.8676    -6.8000 -0.5717
      4  -1.3020  1.5699    -5.5733 -0.7592
      5  -2.3057  2.3277    -8.0825 -0.7494
      6  -4.6731  2.7203    -9.0116 -0.5225
      7  -4.6614  2.7216    -9.0089 -0.5065
      8  -4.7026  2.7209    -9.0178 -0.5165
      9  -4.6619  2.7199    -9.0081 -0.5073
     10  -4.6215  2.7185    -8.9982 -0.4985
     11  -4.6620  2.7197    -9.0080 -0.5074
     12  -4.6219  2.7184    -8.9981 -0.4986
     13  -4.6621  2.7196    -9.0080 -0.5075
     14  -4.6219  2.7183    -8.9981 -0.4986
     15  -4.6621  2.7195    -9.0079 -0.5075
     16  -4.7023  2.7202    -9.0174 -0.5167
     17  -4.6626  2.7232    -9.0097 -0.5056
     18  -4.7022  2.7201    -9.0173 -0.5168
     19  -4.6625  2.7231    -9.0097 -0.5056

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0864  0.0652     0.0000  0.1879
      1   0.0773  0.0653     0.0000  0.1858
      2   0.0533  0.0582     0.0000  0.1717
      3   0.0712  0.0611     0.0000  0.1801
      4   0.0844  0.0616     0.0000  0.1847
      5   0.0236  0.0290     0.0000  0.0795
      6   0.0003  0.0011     0.0000  0.0001
      7   0.0001  0.0001     0.0000  0.0001
      8   0.0001  0.0001     0.0000  0.0001
      9   0.0001  0.0001     0.0000  0.0001
     10   0.0001  0.0001     0.0000  0.0001
     11   0.0001  0.0001     0.0000  0.0001
     12   0.0001  0.0001     0.0000  0.0001
     13   0.0001  0.0001     0.0000  0.0001
     14   0.0001  0.0000     0.0000  0.0001
     15   0.0001  0.0000     0.0000  0.0001
     16   0.0001  0.0000     0.0000  0.0001
     17   0.0001  0.0000     0.0000  0.0001
     18   0.0001  0.0000     0.0000  0.0001
     19   0.0001  0.0000     0.0000  0.0001

