Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7203  2.1094    -9.1127 -2.5845
      1  -3.9292  1.1395    -5.6909 -2.3996
      2  -4.8665  0.7093    -5.7797 -4.2197
      3  -5.2868  0.6028    -5.9669 -4.9560
      4  -5.1218  0.4693    -5.6181 -4.8693
      5  -5.2687  0.4457    -5.7213 -5.1166
      6  -5.2943  0.3453    -5.7160 -5.2738
      7  -5.2647  0.2460    -5.5246 -5.2735
      8  -5.2635  0.1787    -5.5221 -5.2741
      9  -5.2658  0.1317    -5.5218 -5.2752
     10  -5.2670  0.1003    -5.5217 -5.2758
     11  -5.2634  0.0745    -5.5181 -5.2758
     12  -5.2674  0.0523    -5.5183 -5.2795
     13  -5.2832  0.1605    -5.6071 -5.2792
     14  -5.2721  0.1171    -5.5241 -5.2789
     15  -5.2734  0.0900    -5.5240 -5.2800
     16  -5.2687  0.0647    -5.5193 -5.2798
     17  -5.2686  0.0499    -5.5191 -5.2798
     18  -5.2691  0.0396    -5.5191 -5.2803
     19  -5.2690  0.0328    -5.5190 -5.2803

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1025  0.0585     0.0071  0.1899
      1   0.1022  0.0586     0.0065  0.1899
      2   0.1017  0.0587     0.0060  0.1898
      3   0.1019  0.0591     0.0053  0.1900
      4   0.1056  0.0575     0.0096  0.1904
      5   0.1070  0.0570     0.0102  0.1905
      6   0.1145  0.0546     0.0177  0.1916
      7   0.1236  0.0512     0.0289  0.1928
      8   0.1254  0.0497     0.0344  0.1929
      9   0.1262  0.0490     0.0366  0.1929
     10   0.1267  0.0486     0.0381  0.1930
     11   0.1306  0.0467     0.0443  0.1934
     12   0.1349  0.0446     0.0515  0.1939
     13   0.0842  0.0413     0.0224  0.1596
     14   0.0887  0.0407     0.0271  0.1625
     15   0.0910  0.0402     0.0298  0.1638
     16   0.0951  0.0397     0.0343  0.1665
     17   0.0952  0.0396     0.0346  0.1665
     18   0.0980  0.0392     0.0372  0.1684
     19   0.0981  0.0392     0.0375  0.1684

