  0 1155 650.00  0.00 800.00  2.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  751 420.00  0.00 800.00 52.00  1
  3  663 370.00  0.00 800.00 156.00  1
  4  664 370.00  0.00 800.00 260.00  0
  5  753 420.00  0.00 800.00 156.00  1
  6  735 410.00  0.00 800.00 156.00  1
  7  664 370.00  0.00 800.00 260.00  0
  8  735 420.00  0.00 800.00 260.00  0
  9  735 400.00  0.00 800.00 104.00  1
 10  735 400.00  0.00 800.00 104.00  1
 11  664 370.00  0.00 800.00 260.00  0
 12  753 420.00  0.00 800.00 156.00  1
 13  843 470.00  0.00 800.00 156.00  1
 14  682 380.00  0.00 800.00 260.00  0
 15  682 400.00  0.00 800.00 156.00  1
 16  664 370.00  0.00 800.00 260.00  0
 17  664 380.00  0.00 800.00 520.00  0
 18  878 490.00  0.00 800.00 104.00  1
 19  664 370.00  0.00 800.00 520.00  0
