Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.4066  1.5502    -4.7544 -0.2578
      1  -3.5469  0.9609    -4.9092 -2.4391
      2  -2.9506  0.7339    -3.7532 -2.3822
      3  -2.6616  0.6343    -3.2263 -2.2443
      4  -2.8095  0.5218    -3.2975 -2.5799
      5  -2.9467  0.4931    -3.3874 -2.7437
      6  -2.8999  0.3680    -3.1613 -2.7406
      7  -2.9161  0.2782    -3.1610 -2.9075
      8  -2.9132  0.2060    -3.1601 -2.9102
      9  -2.9029  0.1471    -3.1540 -2.9102
     10  -2.9050  0.1084    -3.1539 -2.9136
     11  -2.9022  0.0771    -3.1521 -2.9136
     12  -2.9011  0.0566    -3.1515 -2.9136
     13  -2.8926  0.1510    -3.1515 -2.9025
     14  -2.8267  0.3395    -3.1485 -2.6685
     15  -2.7461  0.7022    -3.1431 -2.4934
     16  -2.6969  0.5700    -3.0987 -2.5093
     17  -2.6862  0.4293    -3.0831 -2.6397
     18  -2.6582  0.3912    -2.9479 -2.6007
     19  -2.6553  0.2933    -2.9294 -2.6430

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0596     0.0037  0.1897
      1   0.1001  0.0597     0.0036  0.1897
      2   0.1004  0.0595     0.0041  0.1897
      3   0.1019  0.0591     0.0053  0.1900
      4   0.1057  0.0575     0.0093  0.1904
      5   0.1049  0.0576     0.0095  0.1902
      6   0.1141  0.0547     0.0180  0.1915
      7   0.1220  0.0519     0.0264  0.1926
      8   0.1242  0.0504     0.0317  0.1928
      9   0.1287  0.0478     0.0405  0.1932
     10   0.1325  0.0458     0.0474  0.1936
     11   0.1353  0.0441     0.0533  0.1939
     12   0.1383  0.0426     0.0584  0.1942
     13   0.0999  0.0432     0.0311  0.1753
     14   0.0589  0.0296     0.0142  0.1099
     15   0.0348  0.0202     0.0008  0.0678
     16   0.0376  0.0204     0.0033  0.0710
     17   0.0397  0.0198     0.0076  0.0723
     18   0.0416  0.0206     0.0081  0.0754
     19   0.0434  0.0202     0.0109  0.0765

