trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   26  20.00  0.00 800.00 10.80  1
  1  698 390.00  0.00 800.00 104.00  1
  2  971 540.00  0.00 800.00 520.00  0
  3  754 420.00  0.00 800.00 260.00  0
  4  753 420.00  0.00 800.00 156.00  0
  5  645 360.00  0.00 800.00 156.00  0
  6  698 390.00  0.00 800.00 104.00  0
  7  787 440.00  0.00 800.00 52.00  1
  8  698 370.00  0.00 800.00 52.00  1
  9  698 380.00  0.00 800.00 156.00  1
 10  464 260.00  0.00 800.00 104.00  0
 11    1  10.00  0.00 800.00  0.71  1
 12    0  10.00  0.00 800.00  0.43  1
 13    0  10.00  0.00 800.00  0.71  1
 14  553 310.00  0.00 800.00 52.00  1
 15  607 340.00  0.00 800.00 52.00  1
 16  625 350.00  0.00 800.00 52.00  1
 17  914 510.00  0.00 800.00 104.00  0
 18  914 510.00  0.00 800.00 156.00  0
 19  842 470.00  0.00 800.00 104.00  0
