trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  846 480.00  0.00 800.00  0.43  1
  1  698 390.00  0.00 800.00 104.00  0
  2  745 420.00  0.00 800.00  8.60  1
  3  732 410.00  0.00 800.00 26.00  1
  4  769 430.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  1
  6  716 400.00  0.00 800.00 104.00  0
  7  608 320.00  0.00 800.00 52.00  1
  8  608 350.00  0.00 800.00 156.00  0
  9  608 340.00  0.00 800.00 52.00  1
 10  608 350.00  0.00 800.00 156.00  0
 11  608 340.00  0.00 800.00 156.00  0
 12  608 320.00  0.00 800.00 52.00  1
 13  608 320.00  0.00 800.00 52.00  1
 14  608 360.00  0.00 800.00 52.00  1
 15  608 330.00  0.00 800.00 52.00  1
 16  608 330.00  0.00 800.00 52.00  1
 17  608 330.00  0.00 800.00 52.00  1
 18  608 320.00  0.00 800.00 52.00  1
 19  608 350.00  0.00 800.00 52.00  1
