Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6118  2.7301    -9.0002 -0.4847
      1  -6.9112  1.4653    -8.3967 -4.8874
      2  -5.7706  0.8890    -7.0666 -4.7786
      3  -5.0910  0.6461    -5.8077 -4.5865
      4  -4.7984  0.6185    -5.4030 -4.3489
      5  -4.9945  0.4671    -5.4916 -4.7896
      6  -5.0257  0.3387    -5.4842 -4.8876
      7  -5.0404  0.2666    -5.4797 -5.0073
      8  -5.0305  0.1966    -5.4487 -5.0076
      9  -5.0404  0.1606    -5.4506 -5.0167
     10  -5.0420  0.1387    -5.4487 -5.0184
     11  -5.0500  0.6260    -5.7696 -4.7807
     12  -5.0092  0.4916    -5.5225 -4.7899
     13  -4.9846  0.3860    -5.4518 -4.7938
     14  -5.0149  0.3197    -5.4603 -4.8694
     15  -5.1120  0.5603    -5.7145 -4.9163
     16  -5.2249  0.9324    -6.2689 -4.5508
     17  -5.2535  0.7129    -6.0577 -4.9002
     18  -5.3707  1.2703    -7.2612 -2.7225
     19  -5.4334  0.9941    -6.7020 -4.5437

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0070  0.1898
      1   0.1017  0.0587     0.0069  0.1898
      2   0.1009  0.0590     0.0061  0.1897
      3   0.1002  0.0593     0.0052  0.1896
      4   0.0989  0.0595     0.0046  0.1893
      5   0.1009  0.0581     0.0067  0.1893
      6   0.1069  0.0560     0.0133  0.1902
      7   0.1111  0.0545     0.0183  0.1908
      8   0.1132  0.0532     0.0231  0.1910
      9   0.1174  0.0519     0.0273  0.1917
     10   0.1198  0.0508     0.0304  0.1920
     11   0.0318  0.0214     0.0006  0.0686
     12   0.0354  0.0215     0.0026  0.0722
     13   0.0385  0.0215     0.0055  0.0749
     14   0.0407  0.0216     0.0076  0.0771
     15   0.0251  0.0140     0.0011  0.0471
     16   0.0152  0.0098     0.0000  0.0296
     17   0.0160  0.0094     0.0001  0.0300
     18   0.0083  0.0058     0.0000  0.0159
     19   0.0091  0.0055     0.0000  0.0165

