trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1102 620.00  0.00 800.00  3.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  769 430.00  0.00 800.00 52.00  0
  3  732 410.00  0.00 800.00 26.00  0
  4  783 440.00  0.00 800.00 12.90  0
  5  693 390.00  0.00 800.00 12.90  0
  6  727 410.00  0.00 800.00  8.60  0
  7  708 400.00  0.00 800.00  6.44  1
  8  745 420.00  0.00 800.00  8.60  1
  9  727 410.00  0.00 800.00  8.60  1
 10  709 400.00  0.00 800.00  8.60  1
 11  747 420.00  0.00 800.00 12.90  1
 12 1419 790.00  0.00 800.00 156.00  0
 13  820 460.00  0.00 800.00 17.20  0
 14  784 440.00  0.00 800.00 17.20  0
 15  729 410.00  0.00 800.00 12.90  0
 16  729 390.00  0.00 800.00 17.20  0
 17  729 410.00  0.00 800.00 10.80  0
 18  655 370.00  0.00 800.00  8.60  0
 19  529 300.00  0.00 800.00  8.60  0
