Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.4196  2.2740    -9.0819 -2.0184
      1  -3.6296  1.2904    -5.6616 -1.8364
      2  -2.5972  0.8142    -3.6680 -1.6817
      3  -3.0831  0.6153    -3.8119 -2.6431
      4  -2.7926  0.5349    -3.3015 -2.4739
      5  -2.9452  0.5024    -3.3961 -2.7242
      6  -2.8955  0.3740    -3.1616 -2.7223
      7  -2.9155  0.2819    -3.1613 -2.9066
      8  -2.9047  0.2027    -3.1572 -2.9070
      9  -2.9049  0.1494    -3.1568 -2.9094
     10  -2.9046  0.1131    -3.1566 -2.9105
     11  -2.8994  0.0825    -3.1526 -2.9104
     12  -2.9025  0.0592    -3.1527 -2.9137
     13  -2.9011  0.0431    -3.1517 -2.9137
     14  -2.9018  0.0311    -3.1516 -2.9145
     15  -2.9016  0.0229    -3.1515 -2.9145
     16  -2.9015  0.0175    -3.1514 -2.9145
     17  -2.9017  0.0129    -3.1514 -2.9147
     18  -2.9016  0.0091    -3.1513 -2.9147
     19  -2.9016  0.0074    -3.1513 -2.9147

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0589     0.0063  0.1898
      1   0.1016  0.0589     0.0064  0.1899
      2   0.1016  0.0590     0.0064  0.1899
      3   0.1014  0.0588     0.0065  0.1898
      4   0.1025  0.0586     0.0072  0.1900
      5   0.1032  0.0583     0.0076  0.1901
      6   0.1127  0.0555     0.0151  0.1914
      7   0.1213  0.0525     0.0241  0.1925
      8   0.1239  0.0506     0.0308  0.1927
      9   0.1255  0.0494     0.0354  0.1929
     10   0.1264  0.0486     0.0380  0.1929
     11   0.1304  0.0466     0.0447  0.1934
     12   0.1340  0.0448     0.0508  0.1937
     13   0.1372  0.0432     0.0564  0.1941
     14   0.1402  0.0417     0.0616  0.1944
     15   0.1405  0.0414     0.0625  0.1945
     16   0.1406  0.0412     0.0630  0.1945
     17   0.1431  0.0400     0.0670  0.1948
     18   0.1455  0.0389     0.0709  0.1950
     19   0.1455  0.0389     0.0710  0.1950

