trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  886 500.00  0.00 800.00  3.00  1
  1  664 370.00  0.00 800.00 260.00  1
  2 1043 580.00  0.00 800.00 520.00  0
  3  791 440.00  0.00 800.00 520.00  1
  4  971 540.00  0.00 800.00 520.00  0
  5  881 490.00  0.00 800.00 520.00  1
  6  971 520.00  0.00 800.00 260.00  1
  7  971 520.00  0.00 800.00 260.00  1
  8  971 530.00  0.00 800.00 260.00  1
  9  971 520.00  0.00 800.00 260.00  1
 10  971 550.00  0.00 800.00 260.00  1
 11  971 540.00  0.00 800.00 260.00  1
 12  971 560.00  0.00 800.00 260.00  1
 13  971 530.00  0.00 800.00 260.00  1
 14  971 560.00  0.00 800.00 260.00  1
 15  971 530.00  0.00 800.00 260.00  1
 16  971 560.00  0.00 800.00 260.00  1
 17  971 550.00  0.00 800.00 260.00  1
 18  971 560.00  0.00 800.00 260.00  1
 19  971 560.00  0.00 800.00 260.00  1
