trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  763 430.00  0.00 800.00  8.60  1
  1  611 340.00  0.00 800.00 520.00  0
  2  769 430.00  0.00 800.00 52.00  0
  3  732 410.00  0.00 800.00 26.00  0
  4  783 440.00  0.00 800.00 12.90  0
  5  693 390.00  0.00 800.00 12.90  1
  6  746 420.00  0.00 800.00 10.80  1
  7  694 390.00  0.00 800.00 17.20  0
  8  694 380.00  0.00 800.00 21.50  0
  9  746 420.00  0.00 800.00 10.80  0
 10  746 400.00  0.00 800.00 12.90  0
 11  693 390.00  0.00 800.00 12.90  0
 12  655 370.00  0.00 800.00  8.60  0
 13  671 380.00  0.00 800.00  4.30  1
 14  600 340.00  0.00 800.00  6.44  1
 15  654 370.00  0.00 800.00  6.44  1
 16  601 340.00  0.00 800.00  8.60  1
 17  601 340.00  0.00 800.00 10.80  1
 18  637 360.00  0.00 800.00  8.60  1
 19  655 370.00  0.00 800.00  8.60  1
