Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.5760  1.6256    -5.0977 -0.2758
      1  -1.3135  1.0764    -2.6146 -0.1447
      2  -0.6800  0.9200    -1.4616 -0.0781
      3  -0.3947  0.8325    -0.9149 -0.0499
      4  -0.2388  0.7287    -0.6256 -0.0365
      5  -0.1230  0.7182    -0.4667 -0.0249
      6  -0.0784  0.5131    -0.4288 -0.0247
      7  -0.7189  1.9094    -6.1674 -0.0278
      8  -0.4146  1.4462    -3.4555 -0.0265
      9  -0.2448  1.0948    -0.6825 -0.0255
     10  -0.9664  2.1044    -6.8882 -0.0344
     11  -0.5937  1.6283    -4.8508 -0.0321
     12  -0.3745  1.2168    -1.3797 -0.0310
     13  -0.2537  0.8933    -0.7708 -0.0304
     14  -0.1840  0.6767    -0.6688 -0.0295
     15  -0.1409  0.5187    -0.5612 -0.0287
     16  -0.1125  0.4007    -0.5218 -0.0280
     17  -0.0931  0.3118    -0.5068 -0.0274
     18  -0.0783  0.2468    -0.4922 -0.0268
     19  -0.0668  0.1983    -0.4782 -0.0263

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1005  0.0595     0.0042  0.1897
      1   0.1007  0.0594     0.0045  0.1897
      2   0.1010  0.0592     0.0051  0.1897
      3   0.1035  0.0584     0.0077  0.1901
      4   0.1068  0.0569     0.0116  0.1905
      5   0.1075  0.0563     0.0130  0.1904
      6   0.1096  0.0549     0.0179  0.1906
      7   0.0261  0.0219     0.0000  0.0643
      8   0.0283  0.0214     0.0001  0.0658
      9   0.0308  0.0211     0.0004  0.0677
     10   0.0126  0.0098     0.0000  0.0271
     11   0.0140  0.0094     0.0000  0.0275
     12   0.0148  0.0091     0.0001  0.0279
     13   0.0152  0.0088     0.0005  0.0282
     14   0.0161  0.0088     0.0010  0.0293
     15   0.0170  0.0088     0.0014  0.0304
     16   0.0179  0.0088     0.0018  0.0314
     17   0.0188  0.0089     0.0023  0.0323
     18   0.0197  0.0089     0.0030  0.0331
     19   0.0205  0.0090     0.0038  0.0338

