Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.1286  1.5282    -4.6146 -0.0975
      1  -0.7181  1.5617    -4.6217 -0.0529
      2  -0.7526  1.3809    -3.4993 -0.2744
      3  -0.8830  1.3521    -3.5521 -0.3943
      4  -0.7047  1.0415    -1.0447 -0.3833
      5  -0.6168  0.7665    -0.8104 -0.3887
      6  -0.5703  0.5616    -0.7955 -0.3945
      7  -0.5458  0.4133    -0.7937 -0.3980
      8  -0.5333  0.3082    -0.7927 -0.4019
      9  -1.1080  1.3658    -3.8061 -0.4418
     10  -1.9255  1.9097    -7.1117 -0.5943
     11  -1.6298  1.5318    -5.3212 -0.5963
     12  -1.3396  1.2765    -3.4582 -0.5727
     13  -1.1440  1.0473    -2.2305 -0.5572
     14  -1.0126  0.8480    -1.7745 -0.5464
     15  -1.3313  1.1678    -2.7046 -0.6390
     16  -1.2216  0.8896    -2.0993 -0.6410
     17  -1.1261  0.7152    -1.8365 -0.6262
     18  -1.0591  0.5808    -1.7157 -0.6129
     19  -1.0861  0.4923    -1.7228 -0.7094

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0948  0.0630     0.0001  0.1893
      1   0.0988  0.0623     0.0001  0.1899
      2   0.1017  0.0614     0.0001  0.1903
      3   0.1003  0.0618     0.0001  0.1901
      4   0.1130  0.0574     0.0020  0.1917
      5   0.1162  0.0550     0.0146  0.1919
      6   0.1182  0.0535     0.0214  0.1921
      7   0.1193  0.0525     0.0249  0.1922
      8   0.1201  0.0518     0.0274  0.1922
      9   0.0265  0.0207     0.0001  0.0631
     10   0.0108  0.0091     0.0000  0.0254
     11   0.0119  0.0089     0.0000  0.0260
     12   0.0138  0.0093     0.0001  0.0278
     13   0.0156  0.0096     0.0001  0.0304
     14   0.0171  0.0097     0.0007  0.0322
     15   0.0124  0.0072     0.0001  0.0224
     16   0.0128  0.0070     0.0004  0.0226
     17   0.0137  0.0070     0.0007  0.0238
     18   0.0146  0.0070     0.0010  0.0248
     19   0.0154  0.0072     0.0013  0.0257

