Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.7079  2.6794    -9.0104 -0.6508
      1  -6.9289  1.4529    -8.3377 -4.9142
      2  -5.7897  0.8741    -7.0689 -4.7981
      3  -5.1122  0.6259    -5.8222 -4.6647
      4  -4.8221  0.5926    -5.4157 -4.4158
      5  -4.6233  0.6573    -5.1536 -3.8630
      6  -4.0233  1.2238    -5.1393 -1.4471
      7  -3.1231  1.5312    -5.1628 -0.6368
      8  -3.6942  1.1555    -5.1107 -1.8461
      9  -3.1689  1.3904    -5.5706 -1.1070
     10  -2.6935  1.7151    -6.8308 -0.5664
     11  -2.5071  1.4514    -4.9924 -0.5792
     12  -2.3953  1.2557    -4.2006 -0.5869
     13  -2.7459  1.0680    -4.2790 -1.2908
     14  -2.9794  0.9193    -4.3424 -1.8590
     15  -3.2032  0.8371    -4.4512 -2.2266
     16  -3.4935  0.8562    -4.7158 -2.5409
     17  -3.6780  0.8140    -4.8500 -2.8033
     18  -3.9328  0.8975    -5.1661 -2.9980
     19  -3.9114  0.7526    -5.0033 -3.0729

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0586     0.0071  0.1899
      1   0.1019  0.0587     0.0069  0.1899
      2   0.1012  0.0590     0.0061  0.1898
      3   0.1010  0.0594     0.0051  0.1899
      4   0.1002  0.0598     0.0045  0.1898
      5   0.0987  0.0616     0.0032  0.1901
      6   0.0300  0.0307     0.0001  0.0905
      7   0.0102  0.0075     0.0000  0.0213
      8   0.0121  0.0086     0.0001  0.0257
      9   0.0083  0.0052     0.0000  0.0144
     10   0.0063  0.0038     0.0000  0.0103
     11   0.0069  0.0034     0.0000  0.0107
     12   0.0074  0.0030     0.0001  0.0109
     13   0.0077  0.0033     0.0001  0.0118
     14   0.0080  0.0034     0.0002  0.0124
     15   0.0082  0.0035     0.0002  0.0126
     16   0.0077  0.0032     0.0001  0.0118
     17   0.0077  0.0032     0.0001  0.0118
     18   0.0071  0.0028     0.0001  0.0101
     19   0.0074  0.0026     0.0002  0.0103

