Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4698  1.2948    -2.9552 -0.1541
      1  -0.7939  1.2119    -2.0558 -0.0798
      2  -0.4976  1.1312    -1.2004 -0.0508
      3  -0.3204  1.0048    -0.7387 -0.0369
      4  -0.4401  0.9970    -0.7870 -0.1453
      5  -0.3892  0.7682    -0.7360 -0.2779
      6  -0.3263  0.5744    -0.5324 -0.2774
      7  -0.2977  0.4084    -0.5297 -0.2776
      8  -0.2832  0.2908    -0.5282 -0.2777
      9  -0.2758  0.2085    -0.5271 -0.2779
     10  -0.2790  0.1559    -0.5272 -0.2840
     11  -0.3475  0.4149    -0.7417 -0.2847
     12  -0.3039  0.3280    -0.6183 -0.2829
     13  -0.2963  0.2413    -0.6106 -0.2837
     14  -0.2900  0.1765    -0.5820 -0.2838
     15  -0.2863  0.1321    -0.5548 -0.2839
     16  -0.2836  0.1018    -0.5349 -0.2840
     17  -0.2825  0.0830    -0.5343 -0.2841
     18  -0.2831  0.0716    -0.5343 -0.2849
     19  -0.2821  0.0635    -0.5333 -0.2849

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0980  0.0608     0.0001  0.1895
      1   0.0981  0.0607     0.0001  0.1894
      2   0.1010  0.0598     0.0003  0.1899
      3   0.1049  0.0582     0.0056  0.1903
      4   0.1042  0.0589     0.0044  0.1904
      5   0.1131  0.0562     0.0130  0.1916
      6   0.1214  0.0528     0.0234  0.1926
      7   0.1229  0.0515     0.0283  0.1927
      8   0.1240  0.0506     0.0313  0.1928
      9   0.1248  0.0499     0.0337  0.1928
     10   0.1302  0.0474     0.0420  0.1934
     11   0.0772  0.0413     0.0174  0.1542
     12   0.0835  0.0420     0.0209  0.1603
     13   0.0842  0.0416     0.0224  0.1606
     14   0.0853  0.0412     0.0241  0.1611
     15   0.0862  0.0409     0.0257  0.1615
     16   0.0872  0.0406     0.0275  0.1620
     17   0.0876  0.0404     0.0282  0.1621
     18   0.0883  0.0401     0.0293  0.1625
     19   0.0889  0.0399     0.0302  0.1627

