Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.2664  1.8742    -9.1724 -3.6207
      1  -4.8376  1.2014    -6.5036 -3.1207
      2  -5.6529  0.7417    -6.5745 -5.0223
      3  -6.0541  0.6266    -6.7709 -5.6921
      4  -5.8792  0.5039    -6.3266 -5.6166
      5  -6.0260  0.4876    -6.4779 -5.8582
      6  -5.7984  0.8410    -6.4943 -5.2786
      7  -5.7271  0.7611    -6.2951 -5.3080
      8  -5.7238  0.6132    -6.1975 -5.4566
      9  -5.7721  0.4608    -6.1849 -5.7080
     10  -5.7920  0.3370    -6.1711 -5.7963
     11  -5.7835  0.2596    -6.0511 -5.7969
     12  -5.7869  0.1932    -6.0503 -5.7976
     13  -5.7948  0.1439    -6.0503 -5.8029
     14  -5.7955  0.1099    -6.0498 -5.8031
     15  -5.7914  0.0829    -6.0451 -5.8031
     16  -5.7938  0.0615    -6.0451 -5.8050
     17  -5.7943  0.0480    -6.0451 -5.8053
     18  -5.7947  0.0389    -6.0450 -5.8056
     19  -5.7948  0.0338    -6.0450 -5.8058

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0994  0.0597     0.0044  0.1895
      1   0.0980  0.0600     0.0041  0.1893
      2   0.1008  0.0594     0.0048  0.1898
      3   0.1002  0.0594     0.0047  0.1897
      4   0.1050  0.0581     0.0082  0.1904
      5   0.1063  0.0579     0.0081  0.1906
      6   0.0560  0.0435     0.0001  0.1391
      7   0.0607  0.0453     0.0001  0.1468
      8   0.0681  0.0460     0.0020  0.1535
      9   0.0754  0.0449     0.0080  0.1578
     10   0.0785  0.0438     0.0135  0.1592
     11   0.0843  0.0434     0.0180  0.1633
     12   0.0849  0.0431     0.0198  0.1634
     13   0.0891  0.0423     0.0244  0.1658
     14   0.0894  0.0421     0.0254  0.1659
     15   0.0937  0.0416     0.0294  0.1686
     16   0.0967  0.0410     0.0334  0.1702
     17   0.0970  0.0408     0.0344  0.1703
     18   0.0975  0.0405     0.0354  0.1704
     19   0.0976  0.0404     0.0357  0.1705

