trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  160  90.00  0.00 800.00 260.00  1
  1  791 440.00  0.00 800.00 520.00  0
  2  663 370.00  0.00 800.00 156.00  1
  3  754 420.00  0.00 800.00 260.00  1
  4  683 380.00  0.00 800.00 520.00  0
  5  844 470.00  0.00 800.00 260.00  1
  6  593 330.00  0.00 800.00 520.00  0
  7  611 340.00  0.00 800.00 520.00  0
  8  862 480.00  0.00 800.00 260.00  1
  9   12  10.00  0.00 800.00 26.00  1
 10  593 330.00  0.00 800.00 520.00  0
 11  628 350.00  0.00 800.00 260.00  1
 12  629 350.00  0.00 800.00 520.00  0
 13  682 380.00  0.00 800.00 260.00  1
 14  629 350.00  0.00 800.00 260.00  1
 15  629 350.00  0.00 800.00 260.00  1
 16  629 360.00  0.00 800.00 260.00  1
 17  629 360.00  0.00 800.00 260.00  1
 18  629 350.00  0.00 800.00 260.00  1
 19  629 370.00  0.00 800.00 260.00  1
