Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.4229  1.7444    -9.1857 -3.9072
      1  -5.0152  1.0085    -6.5084 -3.7156
      2  -4.3506  0.7278    -5.2545 -3.5051
      3  -4.7430  0.5613    -5.3855 -4.3859
      4  -4.4685  0.5879    -4.9805 -4.1449
      5  -4.0364  1.5890    -7.6602 -1.4304
      6  -3.9561  1.3120    -6.4216 -1.8671
      7  -4.1221  1.0433    -5.6375 -2.8118
      8  -4.2203  0.8564    -5.3229 -3.4563
      9  -4.1425  0.6945    -4.9066 -3.5268
     10  -3.9777  0.7506    -4.7241 -3.2620
     11  -4.0348  0.6032    -4.6967 -3.6087
     12  -4.0738  0.4916    -4.6860 -3.7577
     13  -3.9955  0.4398    -4.4763 -3.7291
     14  -3.9506  0.3696    -4.4261 -3.7216
     15  -3.9704  0.2926    -4.4248 -3.7772
     16  -3.9640  0.2350    -4.4104 -3.7821
     17  -3.9370  0.1991    -4.3265 -3.7683
     18  -3.9567  0.1618    -4.3400 -3.8523
     19  -3.9439  0.1347    -4.2192 -3.8423

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1032  0.0585     0.0058  0.1901
      1   0.1027  0.0589     0.0049  0.1900
      2   0.1022  0.0591     0.0048  0.1900
      3   0.1045  0.0580     0.0064  0.1902
      4   0.0997  0.0592     0.0030  0.1893
      5   0.0146  0.0164     0.0000  0.0444
      6   0.0169  0.0165     0.0000  0.0466
      7   0.0205  0.0176     0.0000  0.0518
      8   0.0239  0.0185     0.0001  0.0561
      9   0.0268  0.0190     0.0002  0.0598
     10   0.0239  0.0175     0.0001  0.0540
     11   0.0268  0.0179     0.0008  0.0575
     12   0.0293  0.0183     0.0021  0.0607
     13   0.0319  0.0196     0.0029  0.0657
     14   0.0347  0.0204     0.0044  0.0696
     15   0.0372  0.0204     0.0072  0.0723
     16   0.0380  0.0202     0.0082  0.0728
     17   0.0406  0.0209     0.0092  0.0763
     18   0.0432  0.0212     0.0111  0.0796
     19   0.0455  0.0215     0.0131  0.0820

