Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6124  2.7298    -9.0003 -0.4854
      1  -2.3168  1.4681    -4.6060 -0.2514
      2  -3.4731  0.8700    -4.7129 -2.4430
      3  -2.8063  0.6239    -3.5143 -2.3623
      4  -2.5194  0.5743    -3.0474 -2.1598
      5  -2.6864  0.5275    -3.1413 -2.4601
      6  -2.7000  0.4090    -3.1299 -2.6445
      7  -2.6538  0.2963    -2.8984 -2.6440
      8  -2.6435  0.2145    -2.8955 -2.6444
      9  -2.6161  0.3895    -2.8939 -2.4287
     10  -2.6420  0.2957    -2.8940 -2.6218
     11  -2.6042  0.6738    -2.9406 -2.3226
     12  -2.5472  1.0037    -3.5192 -1.8839
     13  -2.5141  0.7747    -2.9778 -2.1481
     14  -2.7029  1.6086    -7.1474 -1.3497
     15  -2.4912  1.2573    -5.3738 -1.4822
     16  -2.3652  0.9678    -3.1632 -1.5694
     17  -2.3638  0.7732    -3.0111 -1.7724
     18  -2.3700  0.6200    -2.9284 -1.9162
     19  -2.3041  0.9365    -3.1041 -1.6259

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1017  0.0587     0.0069  0.1898
      2   0.1014  0.0588     0.0065  0.1898
      3   0.1011  0.0590     0.0060  0.1898
      4   0.1012  0.0593     0.0055  0.1899
      5   0.1027  0.0587     0.0066  0.1901
      6   0.1114  0.0565     0.0127  0.1914
      7   0.1216  0.0526     0.0236  0.1926
      8   0.1235  0.0511     0.0293  0.1927
      9   0.0868  0.0495     0.0108  0.1745
     10   0.0959  0.0484     0.0180  0.1785
     11   0.0449  0.0293     0.0016  0.0958
     12   0.0286  0.0218     0.0001  0.0667
     13   0.0319  0.0216     0.0003  0.0690
     14   0.0112  0.0095     0.0000  0.0261
     15   0.0125  0.0092     0.0000  0.0267
     16   0.0133  0.0089     0.0001  0.0271
     17   0.0147  0.0091     0.0003  0.0285
     18   0.0159  0.0092     0.0007  0.0303
     19   0.0108  0.0061     0.0001  0.0193

