trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  254 150.00  0.00 800.00  1.00  1
  1  716 400.00  0.00 800.00 104.00  0
  2  745 420.00  0.00 800.00  8.60  1
  3  732 410.00  0.00 800.00 26.00  0
  4  783 440.00  0.00 800.00 12.90  0
  5  693 390.00  0.00 800.00 12.90  1
  6  746 420.00  0.00 800.00 10.80  1
  7  694 390.00  0.00 800.00 17.20  0
  8  694 410.00  0.00 800.00 21.50  0
  9  694 400.00  0.00 800.00 12.90  0
 10  746 420.00  0.00 800.00 10.80  1
 11  675 380.00  0.00 800.00 12.90  0
 12  675 390.00  0.00 800.00 10.80  0
 13  583 330.00  0.00 800.00  8.60  1
 14  601 340.00  0.00 800.00  8.60  0
 15 1420 790.00  0.00 800.00 260.00  0
 16 1421 790.00  0.00 800.00 520.00  0
 17  546 310.00  0.00 800.00  6.44  1
 18  493 280.00  0.00 800.00  8.60  1
 19  493 280.00  0.00 800.00 10.80  0
