trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1400 780.00  0.00 800.00 104.00  0
  1  751 420.00  0.00 800.00 52.00  0
  2  655 370.00  0.00 800.00  8.60  1
  3  695 390.00  0.00 800.00 21.50  0
  4  693 390.00  0.00 800.00 12.90  1
  5  783 440.00  0.00 800.00 12.90  0
  6  746 420.00  0.00 800.00 10.80  1
  7  694 390.00  0.00 800.00 17.20  1
  8  694 390.00  0.00 800.00 12.90  1
  9  694 410.00  0.00 800.00 21.50  0
 10  783 440.00  0.00 800.00 12.90  1
 11  676 380.00  0.00 800.00 17.20  1
 12  731 410.00  0.00 800.00 21.50  0
 13  765 430.00  0.00 800.00 12.90  1
 14  660 370.00  0.00 800.00 26.00  0
 15  676 380.00  0.00 800.00 17.20  1
 16  713 400.00  0.00 800.00 21.50  1
 17  749 420.00  0.00 800.00 21.50  0
 18  749 430.00  0.00 800.00 17.20  0
 19  820 460.00  0.00 800.00 17.20  1
