Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7616  2.0833    -9.1166 -2.6716
      1  -3.9758  1.1151    -5.6984 -2.4855
      2  -3.1837  0.7484    -4.1821 -2.4040
      3  -2.6767  0.6340    -3.3207 -2.2268
      4  -2.4034  0.7161    -2.8945 -1.9144
      5  -2.4457  0.5432    -2.8782 -2.3233
      6  -2.3923  0.4159    -2.6370 -2.3246
      7  -2.3881  0.3013    -2.6355 -2.3780
      8  -2.3845  0.2222    -2.6347 -2.3804
      9  -2.3441  0.5502    -2.6778 -2.1315
     10  -2.4905  0.7929    -3.0758 -2.1674
     11  -2.8873  1.3985    -6.6657 -1.9938
     12  -2.7284  1.0754    -4.5376 -2.1359
     13  -2.6128  0.8370    -3.3952 -2.1610
     14  -3.0203  1.3798    -6.6615 -1.9942
     15  -2.8752  1.0705    -4.6105 -2.1472
     16  -2.7905  0.8273    -3.7671 -2.1906
     17  -2.7082  0.6696    -3.4728 -2.1959
     18  -2.6471  0.5501    -3.3286 -2.1923
     19  -2.6032  0.4573    -3.1857 -2.1878

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0588     0.0065  0.1898
      1   0.1016  0.0589     0.0060  0.1898
      2   0.1022  0.0588     0.0065  0.1900
      3   0.1006  0.0593     0.0051  0.1897
      4   0.0945  0.0612     0.0021  0.1889
      5   0.1072  0.0584     0.0073  0.1909
      6   0.1177  0.0552     0.0147  0.1923
      7   0.1206  0.0530     0.0227  0.1925
      8   0.1224  0.0517     0.0277  0.1927
      9   0.0615  0.0392     0.0057  0.1344
     10   0.0451  0.0326     0.0001  0.1042
     11   0.0175  0.0147     0.0000  0.0418
     12   0.0191  0.0143     0.0001  0.0431
     13   0.0211  0.0142     0.0001  0.0450
     14   0.0105  0.0078     0.0000  0.0215
     15   0.0115  0.0075     0.0001  0.0222
     16   0.0121  0.0072     0.0001  0.0226
     17   0.0131  0.0073     0.0004  0.0239
     18   0.0140  0.0074     0.0007  0.0250
     19   0.0149  0.0075     0.0010  0.0258

