trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  977 550.00  0.00 800.00  4.30  1
  1  754 420.00  0.00 800.00 260.00  0
  2  751 420.00  0.00 800.00 52.00  0
  3  784 440.00  0.00 800.00 17.20  0
  4  693 390.00  0.00 800.00 12.90  0
  5  727 410.00  0.00 800.00  8.60  1
  6  764 430.00  0.00 800.00 10.80  0
  7  727 400.00  0.00 800.00  6.44  1
  8  727 400.00  0.00 800.00  6.44  1
  9  656 370.00  0.00 800.00 10.80  0
 10  656 380.00  0.00 800.00 12.90  1
 11  765 430.00  0.00 800.00 12.90  1
 12 1420 790.00  0.00 800.00 260.00  0
 13  910 510.00  0.00 800.00 17.20  0
 14  802 450.00  0.00 800.00 17.20  1
 15 1421 790.00  0.00 800.00 520.00  0
 16 1421 790.00  0.00 800.00 260.00  0
 17  893 500.00  0.00 800.00 21.50  0
 18  910 510.00  0.00 800.00 17.20  0
 19  892 500.00  0.00 800.00 17.20  0
