Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.2872  2.5759    -8.5240 -0.4477
      1  -2.0406  1.3339    -4.0800 -0.2220
      2  -3.0585  0.8253    -4.1772 -2.1540
      3  -3.5929  0.6353    -4.2957 -3.1348
      4  -3.3088  0.5193    -3.8468 -2.9750
      5  -3.1532  0.4880    -3.6060 -2.8779
      6  -3.1979  0.3605    -3.6060 -3.1649
      7  -3.8558  1.6656    -7.9416 -1.5433
      8  -3.7158  1.3522    -6.9514 -2.1841
      9  -3.6209  1.0843    -5.6043 -2.5402
     10  -3.4931  0.8661    -4.6281 -2.6473
     11  -3.5286  0.7088    -4.4750 -2.9237
     12  -3.4341  0.5856    -4.1712 -2.9167
     13  -3.2663  0.7212    -4.0774 -2.6113
     14  -3.3011  0.5881    -4.0283 -2.8076
     15  -3.3242  0.4866    -4.0025 -2.9339
     16  -3.2714  0.4091    -3.8882 -2.9269
     17  -3.2247  0.3534    -3.7734 -2.9178
     18  -3.2567  0.3020    -3.7884 -2.9739
     19  -3.2014  0.2741    -3.6740 -2.9479

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1026  0.0585     0.0071  0.1900
      1   0.1016  0.0589     0.0064  0.1898
      2   0.1014  0.0590     0.0060  0.1898
      3   0.1012  0.0591     0.0057  0.1898
      4   0.1014  0.0586     0.0068  0.1897
      5   0.1003  0.0585     0.0068  0.1894
      6   0.1113  0.0556     0.0145  0.1911
      7   0.0109  0.0112     0.0000  0.0295
      8   0.0128  0.0111     0.0000  0.0312
      9   0.0140  0.0109     0.0000  0.0321
     10   0.0157  0.0111     0.0001  0.0336
     11   0.0172  0.0112     0.0004  0.0351
     12   0.0190  0.0116     0.0009  0.0379
     13   0.0151  0.0094     0.0003  0.0297
     14   0.0164  0.0096     0.0007  0.0314
     15   0.0176  0.0096     0.0012  0.0325
     16   0.0188  0.0098     0.0016  0.0338
     17   0.0200  0.0101     0.0021  0.0352
     18   0.0213  0.0102     0.0029  0.0371
     19   0.0222  0.0106     0.0034  0.0388

