Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3952  2.4449    -7.7344 -0.0421
      1  -1.6672  2.4955    -7.9303 -0.1510
      2  -1.1045  2.0761    -6.9684 -0.1278
      3  -2.6188  2.8335    -8.5460 -0.2544
      4  -1.9381  2.5266    -8.0859 -0.2196
      5  -1.3899  2.0962    -7.1706 -0.1983
      6  -1.0170  1.6479    -5.3843 -0.1861
      7  -0.7551  1.3076    -2.8430 -0.1709
      8  -0.6822  1.4030    -3.5303 -0.1030
      9  -0.5132  1.0773    -1.0645 -0.0989
     10  -0.4140  0.9414    -0.7919 -0.0830
     11  -0.5481  1.4719    -3.8368 -0.0392
     12  -0.3692  1.0901    -0.9405 -0.0380
     13  -0.2700  0.8236    -0.7127 -0.0368
     14  -0.2120  0.6188    -0.6091 -0.0359
     15  -0.2404  0.5690    -0.6524 -0.0444
     16  -0.2110  0.4302    -0.5755 -0.0436
     17  -0.2144  0.3461    -0.5768 -0.0485
     18  -0.2022  0.2692    -0.5338 -0.0480
     19  -0.1941  0.2170    -0.5294 -0.0474

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0730  0.0676     0.0000  0.1861
      1   0.0627  0.0659     0.0000  0.1833
      2   0.0806  0.0659     0.0000  0.1874
      3   0.0171  0.0270     0.0000  0.0714
      4   0.0228  0.0291     0.0000  0.0797
      5   0.0274  0.0299     0.0000  0.0849
      6   0.0307  0.0300     0.0000  0.0880
      7   0.0361  0.0308     0.0001  0.0940
      8   0.0328  0.0279     0.0001  0.0844
      9   0.0364  0.0281     0.0003  0.0879
     10   0.0403  0.0300     0.0014  0.0959
     11   0.0208  0.0149     0.0001  0.0456
     12   0.0218  0.0145     0.0002  0.0461
     13   0.0234  0.0144     0.0013  0.0473
     14   0.0247  0.0143     0.0023  0.0482
     15   0.0264  0.0153     0.0027  0.0522
     16   0.0276  0.0152     0.0040  0.0533
     17   0.0294  0.0155     0.0056  0.0550
     18   0.0303  0.0154     0.0072  0.0559
     19   0.0313  0.0154     0.0079  0.0569

